BHID,FROM,TO,CU,NI,S,FE
34873,0,2515,,,,
34873,2515,2517.4,0.0299999993,0.0799999982,,
34873,2517.4,2518.9,0.0399999991,0.100000001,,
34873,2518.9,2524,0.409999996,0.180000007,,
34873,2524,2524.9,0.230000004,0.170000002,,
34873,2524.9,2535,0.159999996,0.159999996,,
34873,2535,2545,0.340000004,0.200000003,,
34873,2545,2557.2,0.340000004,0.140000001,,
34873,2557.2,2562.7,0.159999996,0.100000001,,
34873,2562.7,2565,0.200000003,0.100000001,,
34873,2565,2574,0.360000014,0.159999996,,
34873,2574,2580,0.189999998,0.109999999,,
34873,2580,2590,0.270000011,0.119999997,,
34873,2590,2600,0.360000014,0.200000003,,
34873,2600,2605,0.150000006,0.159999996,,
34873,2605,2615,0.180000007,0.170000002,,
34873,2615,2625,0.330000013,0.200000003,,
34873,2625,2635,0.50999999,0.25999999,,
34873,2635,2644.5,0.439999998,0.189999998,,
34873,2644.5,2652,0.180000007,0.109999999,,
34873,2652,2665,0.159999996,0.0900000036,,
34873,2665,2675,0.150000006,0.0900000036,,
34873,2675,2685,0.230000004,0.159999996,,
34873,2685,2692,0.600000024,0.230000004,,
34873,2692,2697,0.540000021,0.25999999,,
34873,2697,2703,0.430000007,0.200000003,,
34873,2703,2706.5,0.0900000036,0.159999996,,
34873,2706.5,2715,0.150000006,0.0799999982,,
34873,2715,2718,0.270000011,0.0900000036,,
34873,2718,2721.3,0.189999998,0.0599999987,,
34873,2721.3,2723.6,0.239999995,0.100000001,,
34873,2723.6,2732,0.419999987,0.180000007,,
34873,2732,2735.9,0.230000004,0.119999997,,
34873,2735.9,2745,0.150000006,0.0599999987,,
34873,2745,2748.7,0.119999997,0.0500000007,,
34873,2748.7,2775,,,,
34873,2775,2785,0.189999998,0.0700000003,,
34873,2785,2795,0.119999997,0.0599999987,,
34873,2795,2802,0.159999996,0.0900000036,,
34873,2802,2809,0.239999995,0.100000001,,
34873,2809,2818,0.25999999,0.100000001,,
34873,2818,2821.7,0.270000011,0.119999997,,
34873,2821.7,2830,0.0399999991,0.0399999991,,
34873,2830,2954,,,,
B1-001,0,17,,,,
B1-001,17,22,0.370000005,0.100000001,1.46000004,
B1-001,22,30,0.219999999,0.0700000003,1.37,
B1-001,30,35,0.230000004,0.0900000036,1.42999995,
B1-001,35,40,0.159999996,0.0599999987,0.850000024,
B1-001,40,45,0.25999999,0.0599999987,2.04999995,
B1-001,45,50,0.340000004,0.0700000003,1.37,
B1-001,50,55,0.209999993,0.0700000003,1.78999996,
B1-001,55,60,0.159999996,0.0700000003,2.11999989,
B1-001,60,65,0.170000002,0.0700000003,2.82999992,
B1-001,65,70,0.230000004,0.0799999982,0.74000001,
B1-001,70,75,0.180000007,0.0700000003,1.59000003,
B1-001,75,80,0.310000002,0.100000001,3.04999995,
B1-001,80,85,0.25999999,0.0700000003,0.779999971,
B1-001,85,90,0.349999994,0.129999995,2.79999995,
B1-001,90,95,0.889999986,0.230000004,6.11000013,
B1-001,95,100,0.200000003,0.0500000007,0.529999971,
B1-001,100,105,0.25999999,0.0799999982,1.48000002,
B1-001,105,110,0.209999993,0.0900000036,2.02999997,
B1-001,110,115,0.629999995,0.219999999,5.8499999,
B1-001,115,120,0.74000001,0.270000011,7.09000015,
B1-001,120,125,0.370000005,0.109999999,1.70000005,
B1-001,125,130,0.0900000036,0.0299999993,0.460000008,
B1-001,130,135,0.310000002,0.0900000036,1,
B1-001,135,140,0.529999971,0.129999995,2.57999992,
B1-001,140,145,0.50999999,0.170000002,4,
B1-001,145,150,0.959999979,0.289999992,9.94999981,
B1-001,150,155,0.25999999,0.150000006,2.13000011,
B1-001,155,160,0.550000012,0.140000001,1.46000004,
B1-001,160,165,1.02999997,0.200000003,3.67000008,
B1-001,165,170,0.920000017,0.140000001,3.01999998,
B1-001,170,175,1.03999996,0.469999999,7.23999977,
B1-001,175,180,0.790000021,0.159999996,3.25,
B1-001,180,185,0.810000002,0.159999996,2.19000006,
B1-001,185,190,0.860000014,0.140000001,1.96000004,
B1-001,190,195,0.569999993,0.0500000007,0.879999995,
B1-001,195,200,0.119999997,0.0299999993,,
B1-001,200,220,,,,
B1-001,220,230,0.0199999996,0.0199999996,4.11999989,
B1-001,230,240,,,,
B1-001,240,245,0.0599999987,0.0399999991,,
B1-001,245,255,0.0199999996,0.0199999996,5.17000008,
B1-001,255,260,0.0599999987,0.0299999993,,
B1-001,260,270,,,,
B1-001,270,275,0.0599999987,0.0299999993,,
B1-001,275,285,,,,
B1-001,285,290,0.0700000003,0.0399999991,,
B1-001,290,300,,,,
B1-001,300,305,0.0799999982,0.0399999991,,
B1-001,305,315,,,,
B1-001,315,320,0.0799999982,0.0399999991,,
B1-001,320,325,0.0799999982,0.0399999991,,
B1-001,325,520,,,,
B1-002,0,50,,,,
B1-002,50,55,0.0700000003,0.0399999991,,
B1-002,55,70,,,,
B1-002,70,75,0.0700000003,0.0399999991,,
B1-002,75,125,,,,
B1-002,125,130,0.0700000003,0.0500000007,,
B1-002,130,140,,,,
B1-002,140,145,0.0700000003,0.0299999993,,
B1-002,145,220,,,,
B1-002,220,225,0.0700000003,0.0500000007,,
B1-002,225,240,,,,
B1-002,240,245,0.0700000003,0.0500000007,,
B1-002,245,260,,,,
B1-002,260,265,0.0700000003,0.0299999993,,
B1-002,265,280,,,,
B1-002,280,285,0.0700000003,0.0399999991,,
B1-002,285,300,,,,
B1-002,300,305,0.0700000003,0.0299999993,,
B1-002,305,325,,,,
B1-002,325,330,0.0700000003,0.0399999991,,
B1-002,330,365,,,,
B1-002,365,375,0.0500000007,0.0299999993,0.200000003,
B1-002,375,385,0.0799999982,0.0199999996,0.180000007,
B1-002,385,395,0.140000001,0.0399999991,0.400000006,
B1-002,395,405,0.129999995,0.0299999993,0.349999994,
B1-002,405,415,0.0599999987,0.0199999996,0.0799999982,
B1-002,415,425,0.0399999991,0.0199999996,0.0799999982,
B1-002,425,435,0.0500000007,0.0399999991,0.0799999982,
B1-002,435,445,0.0700000003,0.0299999993,0.0799999982,
B1-002,445,455,0.129999995,0.0299999993,0.180000007,
B1-002,455,535,,,,
B1-002,535,540,0.379999995,0.0900000036,0.879999995,
B1-002,540,545,0.230000004,0.0900000036,0.800000012,
B1-002,545,550,0.439999998,0.129999995,1.07000005,
B1-002,550,555,0.449999988,0.109999999,1.00999999,
B1-002,555,560,0.25999999,0.0900000036,0.600000024,
B1-002,560,565,0.25999999,0.0700000003,0.860000014,
B1-002,565,570,0.0299999993,0.0299999993,0.159999996,
B1-002,570,575,0.0299999993,0.0299999993,0.100000001,
B1-002,575,580,0.0700000003,0.0500000007,0.150000006,
B1-002,580,585,0.379999995,0.0900000036,0.920000017,
B1-002,585,590,0.300000012,0.0900000036,0.689999998,
B1-002,590,665,,,,
B1-002,665,675,0.0799999982,0.0700000003,0.129999995,
B1-002,675,685,0.119999997,0.0599999987,0.159999996,
B1-002,685,695,0.109999999,0.0799999982,0.400000006,
B1-002,695,705,0.119999997,0.0099999998,0.25,
B1-002,705,906,,,,
B1-003,0,85,,,,
B1-003,85,90,0.170000002,0.0500000007,,
B1-003,90,110,,,,
B1-003,110,115,0.129999995,0.0599999987,,
B1-003,115,130,,,,
B1-003,130,135,0.180000007,0.0799999982,,
B1-003,135,170,,,,
B1-003,170,180,0.439999998,0.0500000007,0.730000019,
B1-003,180,190,0.180000007,0.0299999993,0.479999989,
B1-003,190,195,0.349999994,0.0599999987,0.649999976,
B1-003,195,200,0.330000013,0.0700000003,0.699999988,
B1-003,200,205,0.300000012,0.0700000003,0.730000019,
B1-003,205,210,0.159999996,0.0500000007,0.389999986,
B1-003,210,215,0.219999999,0.0500000007,0.389999986,
B1-003,215,220,0.629999995,0.0599999987,0.660000026,
B1-003,220,225,0.0900000036,0.0099999998,0.100000001,
B1-003,225,230,0.300000012,0.0500000007,0.389999986,
B1-003,230,235,0.610000014,0.0700000003,0.949999988,
B1-003,235,240,1.70000005,0.170000002,2.45000005,
B1-003,240,245,0.860000014,0.180000007,1.98000002,
B1-003,245,250,0.379999995,0.0900000036,0.99000001,
B1-003,250,255,0.25999999,0.0799999982,0.0500000007,
B1-003,255,265,0.0700000003,0.0099999998,0.230000004,
B1-003,265,275,0.0399999991,0.0099999998,0.109999999,
B1-003,275,285,0.100000001,0.0199999996,0.180000007,
B1-003,285,295,0.159999996,0.0199999996,0.200000003,
B1-003,295,325,,,,
B1-003,325,330,0.0900000036,0.0500000007,,
B1-003,330,345,,,,
B1-003,345,350,0.0799999982,0.0500000007,,
B1-003,350,365,,,,
B1-003,365,370,0.0700000003,0.0399999991,,
B1-003,370,385,,,,
B1-003,385,390,0.0799999982,0.0500000007,,
B1-003,390,430,,,,
B1-003,430,435,0.140000001,0.0500000007,,
B1-003,435,450,,,,
B1-003,450,455,0.129999995,0.0599999987,,
B1-003,455,465,0.0900000036,0.0399999991,0.639999986,
B1-003,465,475,0.189999998,,,
B1-003,475,485,0.239999995,0.0799999982,0.620000005,
B1-003,485,495,0.180000007,0.0700000003,0.389999986,
B1-003,495,505,0.280000001,0.109999999,0.680000007,
B1-003,505,510,0.400000006,0.109999999,0.949999988,
B1-003,510,515,0.579999983,0.170000002,1.63,
B1-003,515,520,0.479999989,0.129999995,1.46000004,
B1-003,520,525,0.310000002,0.0900000036,1.38999999,
B1-003,525,530,0.360000014,0.0900000036,1.10000002,
B1-003,530,535,0.460000008,0.119999997,1.38,
B1-003,535,540,0.469999999,0.119999997,1.45000005,
B1-003,540,545,0.469999999,0.129999995,1.46000004,
B1-003,545,555,0.170000002,0.0700000003,1.13,
B1-003,555,565,0.109999999,0.0399999991,0.899999976,
B1-003,565,575,0.119999997,0.0500000007,0.519999981,
B1-003,575,932,,,,
B1-004,0,125,,,,
B1-004,125,130,0.0700000003,0.0299999993,,
B1-004,130,150,,,,
B1-004,150,155,0.0599999987,0.0299999993,,
B1-004,155,175,,,,
B1-004,175,180,0.0599999987,0.0199999996,,
B1-004,180,200,,,,
B1-004,200,205,0.0700000003,0.0199999996,,
B1-004,205,225,,,,
B1-004,225,230,0.0599999987,0.0299999993,,
B1-004,230,250,,,,
B1-004,250,255,0.0700000003,0.0199999996,,
B1-004,255,280,,,,
