BHID,XCOLLAR,YCOLLAR,ZCOLLAR
34873,2296021.09,414095.85,1590
B1-001,2294148.2,420495.9,1620.9
B1-002,2296769.5,422333.5,1553
B1-003,2297820.11,423647.4,1565
B1-004,2298789.91,424357.51,1544
B1-005,2299166.09,423783.8,1528
B1-006,2296388.2,421454.09,1584.8
B1-007,2299545.9,423193.4,1545
B1-008,2298773.89,423649,1535.5
B1-009,2299448.39,424085.69,1531.4
B1-010,2298100.8,423215.1,1542.3
B1-011,2297431.71,422778.9,1575.3
B1-012,2297648.29,422442.6,1557.2
B1-013,2296979.2,422005.79,1573.7
B1-014,2296523.98,421240.6,1578.2
B1-015,2295636.09,421139.89,1579.6
B1-016,2294967.9,420697.79,1585.7
B1-017,2295852.99,420805,1585.9
B1-018,2295166.51,420391.1,1583.9
B1-019,2294289.21,420274.51,1612.3
B1-020,2293403.28,420175.41,1607.3
B1-021,2293620.62,419835.1,1613.9
B1-022,2293835.61,419504.9,1608.8
B1-023,2294509.88,419939.1,1592.2
B1-024,2294944.7,419269.29,1590.4
B1-025,2291774.21,418995.9,1606.5
B1-026,2292726.81,419740.09,1617
B1-027,2298732.09,422246.01,1543.4
B1-028,2293168.4,419063.39,1608.5
B1-029,2293614.81,418408.89,1591.9
B1-030,2297623.01,421020.5,1563.2
B1-031,2291751.6,419021.79,1607
B1-033,2300326.11,422733.61,1567.2
B1-034,2291938,416487.09,1597.9
B1-035,2299504.3,423999.19,1529.5
B1-036,2299227.89,424420.61,1548
B1-038,2301570.71,424896.11,1528
B1-039,2294040.9,417713.89,1593.1
B1-040,2292485.1,418624.72,1604.2
B1-041,2291828.4,416650.79,1599.4
B1-042,2292676.11,416844.71,1598
B1-043,2300336.48,424184.1,1531
B1-044,2299667.39,423751,1530
B1-045,2298663.9,423816.11,1540
B1-046,2298502.51,424065.39,1558
B1-047,2298988.89,423314.1,1538
B1-048,2298324.9,422872.31,1538.7
B1-049,2300124.4,424526.29,1535.4
B1-050,2300559.21,423856.61,1528.8
B1-051,2290188.31,417724.99,1624
B1-053,2292850.41,420290.7,1606
B1-056,2291879.09,415188.71,1602
B1-057,2290197.11,415681.69,1596
B1-058,2294760.31,416886,1596
B1-059,2289427.79,416408.29,1613
B1-060,2297418.89,418546.29,1601
B1-061,2299699.7,420543.51,1589
B1-065,2303238,422691.29,1547.1
