BHID,AT,AZ,DIP
34873,0,0,90
B1-001,0,327,60
B1-002,0,327,60
B1-002,453,327,60
B1-003,0,327,45
B1-003,466,327,45
B1-004,0,327,60
B1-004,509,327,60
B1-005,0,338,60
B1-005,397.5,338,60
B1-006,0,328,60
B1-006,90000,328,60
B1-007,0,328,60
B1-007,502,331,60
B1-008,0,0,90
B1-008,90000,0,90
B1-009,0,0,90
B1-009,90000,0,90
B1-010,0,0,90
B1-010,90000,0,90
B1-011,0,0,90
B1-011,90000,0,90
B1-012,0,0,90
B1-012,90000,0,90
B1-013,0,0,90
B1-013,90000,0,90
B1-014,0,0,90
B1-014,90000,0,90
B1-015,0,0,90
B1-015,90000,0,90
B1-016,0,0,90
B1-016,90000,0,90
B1-017,0,0,90
B1-017,90000,0,90
B1-018,0,0,90
B1-018,90000,0,90
B1-019,0,0,90
B1-019,90000,0,90
B1-020,0,0,90
B1-020,90000,0,90
B1-021,0,0,90
B1-021,90000,0,90
B1-022,0,0,90
B1-022,250,0,90
B1-022,747.5,0,90
B1-022,1025,0,90
B1-023,0,0,90
B1-023,488,0,90
B1-024,0,0,90
B1-024,750,0,90
B1-024,1295,0,90
B1-025,0,0,90
B1-025,90000,0,90
B1-026,0,0,90
B1-026,215,0,90
B1-027,0,0,90
B1-027,350,0,90
B1-027,925,0,90
B1-028,0,0,90
B1-028,290,0,90
B1-028,910,0,90
B1-029,0,0,90
B1-029,250,0,90
B1-029,750,0,86
B1-029,1350,0,86
B1-030,0,0,90
B1-030,300,0,89
B1-030,900,0,85
B1-031,0,327,45
B1-031,90000,327,45
B1-033,0,0,90
B1-033,350,327,89
B1-033,1050,0,90
B1-033,1560,327,89
B1-034,0,327,48
B1-034,250,327,56
B1-034,750,327,55
B1-034,1250,327,56
B1-034,1700,327,46
B1-035,0,327,45
B1-035,200,328,50
B1-035,595,327,42
B1-036,0,325,45
B1-036,150,325,41
B1-036,450,325,32
B1-036,675,325,32
B1-036,839.5,325,32
B1-038,0,327,60
B1-038,125,327,75
B1-038,375,327,72
B1-038,801.5,327,71
B1-039,0,0,90
B1-039,300,0,84
B1-039,900,0,79
B1-039,1500,0,78
B1-040,0,0,90
B1-040,300,0,86
B1-040,900,0,83
B1-041,0,0,90
B1-041,100,0,88
B1-041,500,0,88
B1-041,1100,0,90
B1-042,0,0,88
B1-042,200,0,90
B1-042,550,0,86
B1-042,900,0,85
B1-042,1300,0,82
B1-043,0,0,90
B1-043,100,0,89
B1-043,400,0,89
B1-043,800,0,89
B1-044,0,327,45
B1-044,50,327,48
B1-044,150,327,51
B1-044,250,327,54
B1-045,0,327,45
B1-045,100,327,42
B1-045,275.5,327,42
B1-046,0,327,45
B1-046,12.5,327,45
B1-046,37.5,327,53
B1-046,75.5,327,53
B1-046,262,327,53
B1-047,0,327,45
B1-047,25,327,50
B1-047,75,327,56
B1-047,222.5,327,64
B1-048,0,327,45
B1-048,137.5,327,46
B1-048,212.5,327,50
B1-048,300,327,52
B1-049,0,327,45
B1-049,125,327,48
B1-049,300,327,48
B1-050,0,327,45
B1-050,125,327,54
B1-050,300,327,54
B1-051,0,327,50
B1-051,25,327,51
B1-051,400,327,53
B1-053,0,327,45
B1-053,25,327,48
B1-056,0,0,90
B1-056,250,0,83
B1-056,750,0,83
B1-056,1200,0,82
B1-057,0,0,90
B1-057,250,0,89
B1-057,707.5,0,89
B1-058,0,0,90
B1-058,250,0,89
B1-058,750,0,84
B1-058,1267.5,0,81
B1-059,0,0,90
B1-059,455,0,90
B1-059,675,0,89
B1-060,0,0,90
B1-060,250,0,87
B1-060,750,0,82
B1-060,1250,0,81
B1-060,1550,0,79
B1-061,0,0,90
B1-061,500,156,85
B1-061,1100,176,82
B1-061,1350,233,82
B1-061,1700,261,84
B1-061,1894,261,84
B1-065,0,0,90
B1-065,50,0,90
B1-065,550,0,90
B1-065,1250,0,90
B1-065,1750,306,78
B1-065,2160,306,77
B1-066,0,0,90
B1-066,250,0,89
B1-066,750,0,84
B1-066,1250,0,83
B1-066,1750,0,82
B1-066,2160,0,82
B1-069,0,0,90
B1-069,250,0,90
B1-069,750,0,86
B1-069,1250,0,83
B1-069,1762,0,83
B1-073,0,0,90
B1-073,342.5,0,86
B1-073,792.5,0,85
B1-073,1000,0,84
B1-073,1200,0,82
B1-073,1400,0,81
B1-073,1587.5,0,80
B1-073A,0,0,90
B1-073A,210,0,85
B1-073A,710,0,86
B1-073A,1060,0,86
B1-073A,1167.5,0,85
B1-073A,1357.5,0,83
B1-073A,1524,0,84
