,Unnamed: 0,BHID,FROM,TO,LITHO_DESC
0,14,10,0.0,5.48,Casing
1,15,10,5.48,25.9,Early Diorite
2,16,10,25.9,28.95,Felsic to Intermediate Dykes
3,17,10,28.95,39.92,Shear Zone
4,566,10165,0.0,3.65,Casing
5,567,10165,3.65,53.03,Intermediate to Ultramafic Volcanics
6,568,10165,53.03,56.38,Felsic to Intermediate Dykes
7,569,10165,56.38,59.58,Intermediate to Ultramafic Volcanics
8,570,10165,59.58,62.11,Felsic to Intermediate Dykes
9,571,10165,62.11,85.8,Intermediate to Ultramafic Volcanics
10,572,10165,85.8,86.1,Indifferenciated Tuffs
11,573,10165,86.1,123.29,Intermediate to Ultramafic Volcanics
12,574,10165,123.29,131.06,Indifferenciated Tuffs
13,575,10165,131.06,143.98,Early Diorite
14,576,10165,143.98,190.56,Intermediate to Ultramafic Volcanics
15,577,10165,190.56,193.85,Indifferenciated Tuffs
16,578,10165,193.85,218.6,Intermediate to Ultramafic Volcanics
17,579,10165,218.6,271.88,Indifferenciated Tuffs
18,580,10165,271.88,287.57,Intermediate to Ultramafic Volcanics
19,581,10165,287.57,307.39,Indifferenciated Tuffs
20,582,10165,307.39,321.25,Early Diorite
21,583,10165,321.25,365.76,Intermediate to Ultramafic Volcanics
22,584,10165,365.76,369.41,Indifferenciated Tuffs
23,585,10165,369.41,388.92,Intermediate to Ultramafic Volcanics
24,586,10165,388.92,394.71,Indifferenciated Tuffs
25,587,10165,394.71,487.68,No Litho
26,588,10166,0.0,3.65,Casing
27,589,10166,3.65,33.64,Intermediate to Ultramafic Volcanics
28,590,10166,33.64,52.88,Felsic to Intermediate Dykes
29,591,10166,52.88,80.46,Intermediate to Ultramafic Volcanics
30,592,10166,80.46,106.22,Early Diorite
31,593,10166,106.22,106.68,Felsic to Intermediate Dykes
32,1771,10398,0.0,19.5,Casing
33,1772,10398,19.5,58.52,Intermediate to Ultramafic Volcanics
34,1773,10399,0.0,18.59,Casing
35,1774,10399,18.59,23.01,Felsic to Intermediate Dykes
36,1775,10399,23.01,28.95,Shear Zone
37,1776,10399,28.95,34.44,Shear Zone
38,1777,10399,34.44,37.18,Shear Zone
39,1778,10399,37.18,49.83,Felsic to Intermediate Dykes
40,1779,10399,49.83,54.86,Indifferenciated Tuffs
41,1780,10399,54.86,55.77,Shear Zone
42,1781,10399,55.77,56.08,Indifferenciated Tuffs
43,1801,10400,0.0,3.96,Casing
44,1802,10400,3.96,63.24,Early Diorite
45,1803,10400,63.24,76.93,Felsic to Intermediate Dykes
46,1804,10400,76.93,105.61,Early Diorite
47,1805,10400,105.61,109.11,Intermediate to Ultramafic Volcanics
48,1806,10400,109.11,110.33,Early Diorite
49,1807,10400,110.33,112.16,Intermediate to Ultramafic Volcanics
50,1808,10400,112.16,114.3,Early Diorite
51,1809,10400,114.3,116.89,Intermediate to Ultramafic Volcanics
52,1810,10400,116.89,158.19,Early Diorite
53,1811,10400,158.19,173.88,Intermediate to Ultramafic Volcanics
54,1812,10400,173.88,210.92,Early Diorite
55,1813,10400,210.92,258.77,Intermediate to Ultramafic Volcanics
56,1814,10400,258.77,275.69,Early Diorite
57,1815,10400,275.69,304.8,Intermediate to Ultramafic Volcanics
58,1816,10401,0.0,3.65,Casing
59,1817,10401,3.65,166.87,Intermediate to Ultramafic Volcanics
60,1818,10401,166.87,168.55,Early Diorite
61,1819,10401,168.55,212.14,Early Diorite
62,1820,10401,212.14,234.54,Felsic to Intermediate Dykes
63,1821,10401,234.54,242.77,Intermediate to Ultramafic Volcanics
64,1822,10401,242.77,245.51,Felsic to Intermediate Dykes
65,1823,10401,245.51,252.37,Intermediate to Ultramafic Volcanics
66,1824,10401,252.37,265.63,Felsic to Intermediate Dykes
67,1825,10401,265.63,266.24,Intermediate to Ultramafic Volcanics
68,1826,10401,266.24,266.48,Felsic to Intermediate Dykes
69,1827,10401,266.48,298.7,Intermediate to Ultramafic Volcanics
70,1828,10402,0.0,4.57,Casing
71,1829,10402,4.57,110.64,Intermediate to Ultramafic Volcanics
72,1830,10402,110.64,111.31,Diorite
73,1831,10402,111.31,115.12,Felsic to Intermediate Dykes
74,1832,10402,115.12,140.51,Intermediate to Ultramafic Volcanics
75,1947,10416,0.0,8.53,Casing
76,1948,10416,8.53,47.24,Shear Zone
77,1949,10416,47.24,114.6,Intermediate to Ultramafic Volcanics
78,1950,10416,114.6,121.0,Intermediate to Ultramafic Volcanics
79,1951,10416,121.0,174.49,Early Diorite
80,1952,10416,174.49,175.71,Felsic to Intermediate Dykes
81,1953,10416,175.71,193.85,Early Diorite
82,1954,10416,193.85,201.47,Intermediate to Ultramafic Volcanics
83,1955,10416,201.47,218.38,Early Diorite
84,1956,10416,218.38,224.02,Intermediate to Ultramafic Volcanics
85,1957,10416,224.02,229.51,Early Diorite
86,1983,10421,0.0,13.41,Casing
87,1984,10421,13.41,21.94,Intermediate to Ultramafic Volcanics
88,1985,10421,21.94,25.9,Shear Zone
89,1986,10421,25.9,110.03,Intermediate to Ultramafic Volcanics
90,1987,10421,110.03,128.32,Early Diorite
91,1988,10421,128.32,137.61,Early Diorite
92,1989,10421,137.61,148.74,Felsic to Intermediate Dykes
93,1990,10421,148.74,152.7,Intermediate to Ultramafic Volcanics
94,1991,10422,0.0,12.19,Casing
95,1992,10422,12.19,49.83,Intermediate to Ultramafic Volcanics
96,1993,10422,49.83,70.4,Early Diorite
97,1994,10422,70.4,78.33,Intermediate to Ultramafic Volcanics
98,1995,10422,78.33,85.03,Early Diorite
99,1996,10422,85.03,90.83,Intermediate to Ultramafic Volcanics
100,1997,10422,90.83,93.14,Shear Zone
101,1998,10422,93.14,94.48,Diorite
102,1999,10422,94.48,141.0,Intermediate to Ultramafic Volcanics
103,2000,10422,141.0,207.26,Early Diorite
104,2001,10422,207.26,281.33,Intermediate to Ultramafic Volcanics
105,2002,10422,281.33,285.59,Early Diorite
106,2003,10422,285.59,343.96,Intermediate to Ultramafic Volcanics
107,2004,10422,343.96,360.88,Intermediate to Ultramafic Volcanics
108,2005,10422,360.88,368.16,Felsic to Intermediate Dykes
109,2006,10422,368.16,398.06,Intermediate to Ultramafic Volcanics
110,2007,10422,398.06,400.2,Diorite
111,2008,10422,400.2,403.25,Intermediate to Ultramafic Volcanics
112,2009,10422,403.25,404.01,Diorite
113,2010,10422,404.01,411.02,Intermediate to Ultramafic Volcanics
114,2011,10422,411.02,413.46,Diorite
115,2012,10422,413.46,421.38,Intermediate to Ultramafic Volcanics
116,2013,10422,421.38,427.02,Diorite
117,2014,10422,427.02,438.75,Intermediate to Ultramafic Volcanics
118,2015,10422,438.75,445.61,Early Diorite
119,2016,10422,445.61,488.59,Intermediate to Ultramafic Volcanics
120,4299,11,0.0,7.62,Casing
121,4300,11,7.62,9.78,Diabase
122,4301,11,9.78,30.32,Early Diorite
123,4302,11,30.32,44.8,Shear Zone
124,4303,11,44.8,78.33,Intermediate to Ultramafic Volcanics
125,5714,11241,0.0,8.53,Casing
126,5715,11241,8.53,30.35,Indifferenciated Tuffs
127,5716,11241,30.35,42.03,Felsic to Intermediate Dykes
128,5717,11241,42.03,43.49,Intermediate to Ultramafic Volcanics
129,5718,11241,43.49,49.98,Indifferenciated Tuffs
130,5719,11242,0.0,6.09,Casing
131,5720,11242,6.09,12.0,Felsic to Intermediate Dykes
132,5721,11242,12.0,22.95,Indifferenciated Tuffs
133,5722,11242,22.95,42.97,Felsic to Intermediate Dykes
134,5815,11263,0.0,6.22,Casing
135,5816,11263,6.22,18.33,Intermediate to Ultramafic Volcanics
136,5817,11264,0.0,10.82,Casing
137,5818,11264,10.82,27.27,Intermediate to Ultramafic Volcanics
138,5819,11265,0.0,1.58,Casing
139,5820,11265,1.58,1.9,Intermediate to Ultramafic Volcanics
140,5821,11265,1.9,15.59,Felsic to Intermediate Dykes
141,6239,1135,0.0,4.57,Casing
142,6240,1135,4.57,67.05,Intermediate to Ultramafic Volcanics
143,6300,1136,0.0,0.91,Casing
144,6301,1136,0.91,1.28,Intermediate to Ultramafic Volcanics
145,6302,1136,1.28,3.04,Early Diorite
146,6303,1136,3.04,33.07,Intermediate to Ultramafic Volcanics
147,6304,1136,33.07,33.25,Felsic to Intermediate Dykes
148,6305,1136,33.25,61.56,Intermediate to Ultramafic Volcanics
149,7384,11575,0.0,7.71,Casing
150,7385,11575,7.71,14.08,Indifferenciated Tuffs
151,7386,11575,14.08,25.11,Felsic to Intermediate Dykes
152,7387,11575,25.11,35.66,Indifferenciated Tuffs
153,7388,11575,35.66,35.75,Felsic to Intermediate Dykes
154,7389,11575,35.75,78.02,Indifferenciated Tuffs
155,7390,11575,78.02,87.32,Felsic to Intermediate Dykes
156,7391,11575,87.32,200.25,Indifferenciated Tuffs
157,7392,11575,200.25,213.05,Felsic to Intermediate Dykes
158,7393,11575,213.05,214.82,Indifferenciated Tuffs
159,7394,11575,214.82,218.9,Felsic to Intermediate Dykes
160,7395,11575,218.9,222.65,Intermediate to Ultramafic Volcanics
161,7396,11575,222.65,227.92,Indifferenciated Tuffs
162,7397,11575,227.92,228.6,Felsic to Intermediate Dykes
163,7398,11575,228.6,255.42,Indifferenciated Tuffs
164,7399,11576,0.0,7.92,Casing
165,7400,11576,7.92,77.72,Indifferenciated Tuffs
166,7401,11577,0.0,10.66,Casing
167,7402,11577,10.66,18.04,Intermediate to Ultramafic Volcanics
168,7403,11577,18.04,18.77,Early Diorite
169,7404,11577,18.77,22.52,Intermediate to Ultramafic Volcanics
170,7405,11577,22.52,37.09,Felsic to Intermediate Dykes
171,7406,11577,37.09,40.84,Indifferenciated Tuffs
172,7407,11577,40.84,52.48,Early Diorite
173,7408,11577,52.48,68.61,Intermediate to Ultramafic Volcanics
174,7409,11577,68.61,76.93,Early Diorite
175,7410,11577,76.93,88.78,Intermediate to Ultramafic Volcanics
176,7411,11577,88.78,98.14,Early Diorite
177,7412,11577,98.14,103.02,Intermediate to Ultramafic Volcanics
178,7413,11578,0.0,6.94,Casing
179,7414,11578,6.94,21.12,Indifferenciated Tuffs
180,7415,11578,21.12,21.33,Early Diorite
181,7416,11578,21.33,37.49,Indifferenciated Tuffs
182,7417,11578,37.49,39.65,Felsic to Intermediate Dykes
183,7418,11578,39.65,40.29,Intermediate to Ultramafic Volcanics
184,7419,11578,40.29,42.76,Felsic to Intermediate Dykes
185,7420,11578,42.76,126.97,Intermediate to Ultramafic Volcanics
186,7421,11578,126.97,150.26,Early Diorite
187,7422,11578,150.26,171.51,Intermediate to Ultramafic Volcanics
188,7423,11578,171.51,179.71,Early Diorite
189,7424,11578,179.71,201.32,Intermediate to Ultramafic Volcanics
190,7425,11578,201.32,213.54,Early Diorite
191,7426,11578,213.54,232.74,Intermediate to Ultramafic Volcanics
192,7427,11578,232.74,237.13,Early Diorite
193,7428,11579,0.0,8.53,Casing
194,7429,11579,8.53,34.83,Indifferenciated Tuffs
195,7430,11579,34.83,39.8,Felsic to Intermediate Dykes
196,7431,11579,39.8,40.72,Indifferenciated Tuffs
197,7432,11579,40.72,42.12,Felsic to Intermediate Dykes
198,7433,11579,42.12,43.55,Indifferenciated Tuffs
199,7434,11579,43.55,59.86,Intermediate to Ultramafic Volcanics
200,7435,11579,59.86,65.41,Indifferenciated Tuffs
201,7436,11579,65.41,70.56,Indifferenciated Tuffs
202,7437,11579,70.56,99.12,Intermediate to Ultramafic Volcanics
203,7438,11579,99.12,108.99,Diorite
204,7439,11579,108.99,110.64,Intermediate to Ultramafic Volcanics
205,7440,11579,110.64,114.69,Intermediate to Ultramafic Volcanics
206,7441,11579,114.69,115.21,Intermediate to Ultramafic Volcanics
207,7463,11580,0.0,3.04,Casing
208,7464,11580,3.04,4.69,Early Diorite
209,7465,11580,4.69,11.67,Intermediate to Ultramafic Volcanics
210,7466,11580,11.67,13.1,Early Diorite
211,7467,11580,13.1,15.08,Intermediate to Ultramafic Volcanics
212,7468,11580,15.08,15.72,Early Diorite
213,7469,11580,15.72,20.6,Intermediate to Ultramafic Volcanics
214,7470,11580,20.6,20.87,Early Diorite
215,7471,11580,20.87,31.24,Intermediate to Ultramafic Volcanics
216,7472,11580,31.24,31.57,Early Diorite
217,7473,11580,31.57,44.16,Intermediate to Ultramafic Volcanics
218,7474,11580,44.16,53.24,Early Diorite
219,7475,11580,53.24,56.72,Intermediate to Ultramafic Volcanics
220,7476,11580,56.72,58.82,Early Diorite
221,7477,11580,58.82,61.14,Intermediate to Ultramafic Volcanics
222,7478,11580,61.14,61.63,Early Diorite
223,7479,11580,61.63,62.69,Intermediate to Ultramafic Volcanics
224,7480,11580,62.69,63.61,Early Diorite
