XC,YC,ZC,Primary,Secondary
0.5,0.5,0.5,2.26,3.26
1.5,0.5,0.5,3.28,2.64
2.5,0.5,0.5,2.8,2.15
3.5,0.5,0.5,0.95,1.69
4.5,0.5,0.5,0.12,0.51
5.5,0.5,0.5,0.13,0.27
6.5,0.5,0.5,0.39,0.16
7.5,0.5,0.5,0.24,0.31
8.5,0.5,0.5,0.3,0.39
9.5,0.5,0.5,0.22,0.4
10.5,0.5,0.5,0.18,0.42
11.5,0.5,0.5,0.26,0.42
12.5,0.5,0.5,0.55,0.3
13.5,0.5,0.5,0.12,0.25
14.5,0.5,0.5,0.44,0.32
15.5,0.5,0.5,0.14,0.57
16.5,0.5,0.5,0.5,0.61
17.5,0.5,0.5,0.82,0.64
18.5,0.5,0.5,0.51,0.69
19.5,0.5,0.5,0.73,0.65
20.5,0.5,0.5,0.36,0.46
21.5,0.5,0.5,0.16,0.42
22.5,0.5,0.5,0.1,0.47
23.5,0.5,0.5,0.47,0.49
24.5,0.5,0.5,0.52,0.6
25.5,0.5,0.5,0.29,0.66
26.5,0.5,0.5,0.98,0.94
27.5,0.5,0.5,2.14,1.44
28.5,0.5,0.5,1.31,1.85
29.5,0.5,0.5,1.97,2.22
30.5,0.5,0.5,4.18,2.84
31.5,0.5,0.5,3.3,2.72
32.5,0.5,0.5,1.77,2.2
33.5,0.5,0.5,0.68,1.73
34.5,0.5,0.5,0.13,1.26
35.5,0.5,0.5,0.54,0.65
36.5,0.5,0.5,0.56,0.61
37.5,0.5,0.5,0.38,0.69
38.5,0.5,0.5,1.15,0.9
39.5,0.5,0.5,1.55,0.94
40.5,0.5,0.5,0.24,0.87
41.5,0.5,0.5,0.18,0.77
42.5,0.5,0.5,0.09,0.66
43.5,0.5,0.5,0.16,0.47
44.5,0.5,0.5,0.09,0.67
45.5,0.5,0.5,0.83,1.02
46.5,0.5,0.5,0.56,1.71
47.5,0.5,0.5,0.31,2.88
48.5,0.5,0.5,0.95,3.5
49.5,0.5,0.5,1.08,4.15
0.5,1.5,0.5,4.65,2.84
1.5,1.5,0.5,1.64,2.32
2.5,1.5,0.5,3.33,1.89
3.5,1.5,0.5,0.66,1.51
4.5,1.5,0.5,0.17,0.56
5.5,1.5,0.5,0.06,0.28
6.5,1.5,0.5,0.12,0.17
7.5,1.5,0.5,0.16,0.3
8.5,1.5,0.5,0.55,0.36
9.5,1.5,0.5,0.56,0.37
10.5,1.5,0.5,0.83,0.38
11.5,1.5,0.5,0.35,0.37
12.5,1.5,0.5,0.32,0.27
13.5,1.5,0.5,0.11,0.23
14.5,1.5,0.5,0.48,0.27
15.5,1.5,0.5,0.16,0.47
16.5,1.5,0.5,0.19,0.5
17.5,1.5,0.5,0.23,0.52
18.5,1.5,0.5,0.17,0.55
19.5,1.5,0.5,0.21,0.52
20.5,1.5,0.5,0.09,0.39
21.5,1.5,0.5,0.14,0.36
22.5,1.5,0.5,0.19,0.42
23.5,1.5,0.5,0.45,0.48
24.5,1.5,0.5,0.88,0.61
25.5,1.5,0.5,1.15,0.77
26.5,1.5,0.5,0.89,1.01
27.5,1.5,0.5,0.87,1.43
28.5,1.5,0.5,1.94,1.78
29.5,1.5,0.5,2.49,2.08
30.5,1.5,0.5,4.7,2.51
31.5,1.5,0.5,4.22,2.46
32.5,1.5,0.5,1.85,2.04
33.5,1.5,0.5,1.12,1.65
34.5,1.5,0.5,0.15,1.27
35.5,1.5,0.5,0.24,0.72
36.5,1.5,0.5,0.22,0.63
37.5,1.5,0.5,0.23,0.69
38.5,1.5,0.5,0.77,0.83
39.5,1.5,0.5,0.84,0.88
40.5,1.5,0.5,0.23,0.85
41.5,1.5,0.5,0.11,0.8
42.5,1.5,0.5,0.15,0.68
43.5,1.5,0.5,0.03,0.56
44.5,1.5,0.5,0.04,0.7
45.5,1.5,0.5,0.17,1.15
46.5,1.5,0.5,0.9,1.82
47.5,1.5,0.5,4.57,3.41
48.5,1.5,0.5,3.49,4.14
49.5,1.5,0.5,2.35,5.03
0.5,2.5,0.5,1.63,2.65
1.5,2.5,0.5,2.17,2.18
2.5,2.5,0.5,1.14,1.83
3.5,2.5,0.5,0.56,1.5
4.5,2.5,0.5,0.17,0.66
5.5,2.5,0.5,0.05,0.37
6.5,2.5,0.5,0.17,0.29
7.5,2.5,0.5,0.2,0.34
8.5,2.5,0.5,0.22,0.36
9.5,2.5,0.5,0.19,0.34
10.5,2.5,0.5,0.64,0.35
11.5,2.5,0.5,0.05,0.31
12.5,2.5,0.5,0.19,0.23
13.5,2.5,0.5,0.16,0.22
14.5,2.5,0.5,0.22,0.25
15.5,2.5,0.5,0.19,0.41
16.5,2.5,0.5,0.09,0.44
17.5,2.5,0.5,0.21,0.45
18.5,2.5,0.5,0.12,0.47
19.5,2.5,0.5,0.06,0.45
20.5,2.5,0.5,0.1,0.34
21.5,2.5,0.5,0.25,0.34
22.5,2.5,0.5,0.08,0.49
23.5,2.5,0.5,0.12,0.58
24.5,2.5,0.5,0.68,0.71
25.5,2.5,0.5,0.8,0.91
26.5,2.5,0.5,0.75,1.12
27.5,2.5,0.5,1.94,1.44
28.5,2.5,0.5,6.61,1.7
29.5,2.5,0.5,3.2,1.93
30.5,2.5,0.5,5.25,2.27
31.5,2.5,0.5,6.45,2.23
32.5,2.5,0.5,1.05,1.85
33.5,2.5,0.5,2.49,1.51
34.5,2.5,0.5,0.11,1.21
35.5,2.5,0.5,0.01,0.71
36.5,2.5,0.5,0.2,0.62
37.5,2.5,0.5,0.24,0.66
38.5,2.5,0.5,0.15,0.8
39.5,2.5,0.5,0.7,0.87
40.5,2.5,0.5,0.72,0.9
41.5,2.5,0.5,0.33,0.88
42.5,2.5,0.5,0.27,0.78
43.5,2.5,0.5,0.16,0.65
44.5,2.5,0.5,0.04,0.73
45.5,2.5,0.5,0.5,1.13
46.5,2.5,0.5,0.88,1.7
47.5,2.5,0.5,1.42,3.05
48.5,2.5,0.5,4.66,3.69
49.5,2.5,0.5,2.83,4.48
0.5,3.5,0.5,1.34,3.07
1.5,3.5,0.5,7.14,2.61
2.5,3.5,0.5,4.02,2.27
3.5,3.5,0.5,0.21,1.96
4.5,3.5,0.5,0.22,0.98
5.5,3.5,0.5,0.46,0.69
6.5,3.5,0.5,0.27,0.54
7.5,3.5,0.5,0.22,0.44
8.5,3.5,0.5,0.23,0.37
9.5,3.5,0.5,0.37,0.33
10.5,3.5,0.5,0.14,0.31
11.5,3.5,0.5,0.12,0.24
12.5,3.5,0.5,0.02,0.19
13.5,3.5,0.5,0.19,0.18
14.5,3.5,0.5,0.11,0.17
15.5,3.5,0.5,0.1,0.21
16.5,3.5,0.5,0.15,0.22
17.5,3.5,0.5,0.09,0.21
18.5,3.5,0.5,0.12,0.2
19.5,3.5,0.5,0.06,0.22
20.5,3.5,0.5,0.08,0.26
21.5,3.5,0.5,0.1,0.3
22.5,3.5,0.5,0.03,0.55
23.5,3.5,0.5,0.09,0.72
24.5,3.5,0.5,0.32,0.84
25.5,3.5,0.5,1.42,1.03
26.5,3.5,0.5,1.04,1.15
27.5,3.5,0.5,1.91,1.21
28.5,3.5,0.5,2.8,1.4
29.5,3.5,0.5,6.01,1.53
30.5,3.5,0.5,2.14,1.66
31.5,3.5,0.5,2.37,1.68
32.5,3.5,0.5,0.47,1.48
33.5,3.5,0.5,0.46,1.19
34.5,3.5,0.5,0.13,0.99
35.5,3.5,0.5,0.33,0.67
36.5,3.5,0.5,0.19,0.57
37.5,3.5,0.5,0.21,0.58
38.5,3.5,0.5,0.42,0.68
39.5,3.5,0.5,0.71,0.76
40.5,3.5,0.5,0.25,0.85
41.5,3.5,0.5,0.42,0.91
42.5,3.5,0.5,0.4,0.89
43.5,3.5,0.5,0.22,0.84
44.5,3.5,0.5,0.07,0.85
45.5,3.5,0.5,0.55,1.15
46.5,3.5,0.5,0.35,1.65
47.5,3.5,0.5,0.66,2.83
48.5,3.5,0.5,1.08,3.35
49.5,3.5,0.5,1.68,4.13
0.5,4.5,0.5,0.94,4.02
1.5,4.5,0.5,4.57,3.72
2.5,4.5,0.5,4.3,3.37
3.5,4.5,0.5,2.59,2.64
4.5,4.5,0.5,0.95,1.75
5.5,4.5,0.5,0.83,1.34
6.5,4.5,0.5,0.17,0.92
7.5,4.5,0.5,0.28,0.57
8.5,4.5,0.5,0.27,0.45
9.5,4.5,0.5,0.32,0.39
10.5,4.5,0.5,0.49,0.32
11.5,4.5,0.5,0.05,0.21
12.5,4.5,0.5,0.09,0.18
13.5,4.5,0.5,0.08,0.16
14.5,4.5,0.5,0.09,0.16
15.5,4.5,0.5,0.08,0.18
16.5,4.5,0.5,0.03,0.19
17.5,4.5,0.5,0.03,0.2
18.5,4.5,0.5,0.15,0.19
19.5,4.5,0.5,0.09,0.21
20.5,4.5,0.5,0.05,0.28
21.5,4.5,0.5,0.22,0.35
22.5,4.5,0.5,0.19,0.62
23.5,4.5,0.5,0.16,0.87
24.5,4.5,0.5,0.32,1.12
25.5,4.5,0.5,1.81,1.37
26.5,4.5,0.5,1.69,1.63
27.5,4.5,0.5,2.52,1.81
28.5,4.5,0.5,1.61,2.13
29.5,4.5,0.5,4.2,2.22
30.5,4.5,0.5,5.51,2.22
31.5,4.5,0.5,3.52,2.03
32.5,4.5,0.5,0.41,1.69
33.5,4.5,0.5,0.5,1.19
34.5,4.5,0.5,0.26,0.89
35.5,4.5,0.5,0.02,0.6
36.5,4.5,0.5,0.09,0.49
37.5,4.5,0.5,0.14,0.49
38.5,4.5,0.5,0.26,0.56
39.5,4.5,0.5,0.22,0.66
40.5,4.5,0.5,0.18,0.83
41.5,4.5,0.5,0.09,1.04
42.5,4.5,0.5,2.06,1.14
43.5,4.5,0.5,0.33,1.14
44.5,4.5,0.5,0.8,1.13
45.5,4.5,0.5,1.51,1.38
46.5,4.5,0.5,0.34,1.69
47.5,4.5,0.5,0.47,2.71
48.5,4.5,0.5,3.32,3.17
49.5,4.5,0.5,11.24,3.91
0.5,5.5,0.5,1.41,6.32
1.5,5.5,0.5,1.97,6.72
2.5,5.5,0.5,4.37,5.93
3.5,5.5,0.5,1.21,4.53
4.5,5.5,0.5,0.72,3.53
5.5,5.5,0.5,3.68,2.82
6.5,5.5,0.5,0.75,1.38
7.5,5.5,0.5,0.48,0.87
