,Unnamed: 0,BHID,FROM,TO,LITHO_DESC,lithoID,_id0
0,14,10,0.0,5.48,Casing,1.0,0
1,15,10,5.48,25.9,Early Diorite,2.0,1
2,16,10,25.9,28.95,Felsic to Intermediate Dykes,3.0,2
3,17,10,28.95,39.92,Shear Zone,4.0,3
4,566,10165,0.0,3.65,Casing,1.0,4
5,567,10165,3.65,53.03,Intermediate to Ultramafic Volcanics,5.0,5
6,568,10165,53.03,56.38,Felsic to Intermediate Dykes,3.0,6
7,569,10165,56.38,59.58,Intermediate to Ultramafic Volcanics,5.0,7
8,570,10165,59.58,62.11,Felsic to Intermediate Dykes,3.0,8
9,571,10165,62.11,85.8,Intermediate to Ultramafic Volcanics,5.0,9
10,572,10165,85.8,86.1,Indifferenciated Tuffs,6.0,10
11,573,10165,86.1,123.29,Intermediate to Ultramafic Volcanics,5.0,11
12,574,10165,123.29,131.06,Indifferenciated Tuffs,6.0,12
13,575,10165,131.06,143.98,Early Diorite,2.0,13
14,576,10165,143.98,190.56,Intermediate to Ultramafic Volcanics,5.0,14
15,577,10165,190.56,193.85,Indifferenciated Tuffs,6.0,15
16,578,10165,193.85,218.6,Intermediate to Ultramafic Volcanics,5.0,16
17,579,10165,218.6,271.88,Indifferenciated Tuffs,6.0,17
18,580,10165,271.88,287.57,Intermediate to Ultramafic Volcanics,5.0,18
19,581,10165,287.57,307.39,Indifferenciated Tuffs,6.0,19
20,582,10165,307.39,321.25,Early Diorite,2.0,20
21,583,10165,321.25,365.76,Intermediate to Ultramafic Volcanics,5.0,21
22,584,10165,365.76,369.41,Indifferenciated Tuffs,6.0,22
23,585,10165,369.41,388.92,Intermediate to Ultramafic Volcanics,5.0,23
24,586,10165,388.92,394.71,Indifferenciated Tuffs,6.0,24
25,587,10165,394.71,487.68,No Litho,0.0,25
26,588,10166,0.0,3.65,Casing,1.0,26
27,589,10166,3.65,33.64,Intermediate to Ultramafic Volcanics,5.0,27
28,590,10166,33.64,52.88,Felsic to Intermediate Dykes,3.0,28
29,591,10166,52.88,80.46,Intermediate to Ultramafic Volcanics,5.0,29
30,592,10166,80.46,106.22,Early Diorite,2.0,30
31,593,10166,106.22,106.68,Felsic to Intermediate Dykes,3.0,31
32,1771,10398,0.0,19.5,Casing,1.0,32
33,1772,10398,19.5,58.52,Intermediate to Ultramafic Volcanics,5.0,33
34,1773,10399,0.0,18.59,Casing,1.0,34
35,1774,10399,18.59,23.01,Felsic to Intermediate Dykes,3.0,35
36,1775,10399,23.01,28.95,Shear Zone,4.0,36
37,1776,10399,28.95,34.44,Shear Zone,4.0,37
38,1777,10399,34.44,37.18,Shear Zone,4.0,38
39,1778,10399,37.18,49.83,Felsic to Intermediate Dykes,3.0,39
40,1779,10399,49.83,54.86,Indifferenciated Tuffs,6.0,40
41,1780,10399,54.86,55.77,Shear Zone,4.0,41
42,1781,10399,55.77,56.08,Indifferenciated Tuffs,6.0,42
43,1801,10400,0.0,3.96,Casing,1.0,43
44,1802,10400,3.96,63.24,Early Diorite,2.0,44
45,1803,10400,63.24,76.93,Felsic to Intermediate Dykes,3.0,45
46,1804,10400,76.93,105.61,Early Diorite,2.0,46
47,1805,10400,105.61,109.11,Intermediate to Ultramafic Volcanics,5.0,47
48,1806,10400,109.11,110.33,Early Diorite,2.0,48
49,1807,10400,110.33,112.16,Intermediate to Ultramafic Volcanics,5.0,49
50,1808,10400,112.16,114.3,Early Diorite,2.0,50
51,1809,10400,114.3,116.89,Intermediate to Ultramafic Volcanics,5.0,51
52,1810,10400,116.89,158.19,Early Diorite,2.0,52
53,1811,10400,158.19,173.88,Intermediate to Ultramafic Volcanics,5.0,53
54,1812,10400,173.88,210.92,Early Diorite,2.0,54
55,1813,10400,210.92,258.77,Intermediate to Ultramafic Volcanics,5.0,55
56,1814,10400,258.77,275.69,Early Diorite,2.0,56
57,1815,10400,275.69,304.8,Intermediate to Ultramafic Volcanics,5.0,57
58,1816,10401,0.0,3.65,Casing,1.0,58
59,1817,10401,3.65,166.87,Intermediate to Ultramafic Volcanics,5.0,59
60,1818,10401,166.87,168.55,Early Diorite,2.0,60
61,1819,10401,168.55,212.14,Early Diorite,2.0,61
62,1820,10401,212.14,234.54,Felsic to Intermediate Dykes,3.0,62
63,1821,10401,234.54,242.77,Intermediate to Ultramafic Volcanics,5.0,63
64,1822,10401,242.77,245.51,Felsic to Intermediate Dykes,3.0,64
65,1823,10401,245.51,252.37,Intermediate to Ultramafic Volcanics,5.0,65
66,1824,10401,252.37,265.63,Felsic to Intermediate Dykes,3.0,66
67,1825,10401,265.63,266.24,Intermediate to Ultramafic Volcanics,5.0,67
68,1826,10401,266.24,266.48,Felsic to Intermediate Dykes,3.0,68
69,1827,10401,266.48,298.7,Intermediate to Ultramafic Volcanics,5.0,69
70,1828,10402,0.0,4.57,Casing,1.0,70
71,1829,10402,4.57,110.64,Intermediate to Ultramafic Volcanics,5.0,71
72,1830,10402,110.64,111.31,Diorite,2.0,72
73,1831,10402,111.31,115.12,Felsic to Intermediate Dykes,3.0,73
74,1832,10402,115.12,140.51,Intermediate to Ultramafic Volcanics,5.0,74
75,1947,10416,0.0,8.53,Casing,1.0,75
76,1948,10416,8.53,47.24,Shear Zone,4.0,76
77,1949,10416,47.24,114.6,Intermediate to Ultramafic Volcanics,5.0,77
78,1950,10416,114.6,121.0,Intermediate to Ultramafic Volcanics,5.0,78
79,1951,10416,121.0,174.49,Early Diorite,2.0,79
80,1952,10416,174.49,175.71,Felsic to Intermediate Dykes,3.0,80
81,1953,10416,175.71,193.85,Early Diorite,2.0,81
82,1954,10416,193.85,201.47,Intermediate to Ultramafic Volcanics,5.0,82
83,1955,10416,201.47,218.38,Early Diorite,2.0,83
84,1956,10416,218.38,224.02,Intermediate to Ultramafic Volcanics,5.0,84
85,1957,10416,224.02,229.51,Early Diorite,2.0,85
86,1983,10421,0.0,13.41,Casing,1.0,86
87,1984,10421,13.41,21.94,Intermediate to Ultramafic Volcanics,5.0,87
88,1985,10421,21.94,25.9,Shear Zone,4.0,88
89,1986,10421,25.9,110.03,Intermediate to Ultramafic Volcanics,5.0,89
90,1987,10421,110.03,128.32,Early Diorite,2.0,90
91,1988,10421,128.32,137.61,Early Diorite,2.0,91
