,AT,AZ,BHID,DIP,Unnamed: 0
0,0.0,173.31,10,43.0,4.0
1,30.48,173.31,10,47.0,5.0
2,0.0,182.31,10165,90.0,231.0
3,60.96,182.31,10165,88.0,232.0
4,121.92,182.31,10165,87.0,233.0
5,182.88,182.31,10165,82.5,234.0
6,243.84,182.31,10165,82.5,235.0
7,304.8,182.31,10165,76.0,236.0
8,365.76,182.31,10165,76.0,237.0
9,0.0,2.31,10166,90.0,238.0
10,60.96,2.31,10166,89.5,239.0
11,106.68,2.31,10166,90.0,240.0
12,0.0,2.31,10398,90.0,815.0
13,58.52,2.31,10398,77.0,816.0
14,0.0,2.31,10399,80.0,817.0
0,900.0,2.31,10399,80.0,
15,0.0,182.31,10400,90.0,825.0
16,60.96,175.24,10400,87.25,826.0
17,121.92,168.17,10400,88.0,827.0
18,182.88,161.09,10400,86.5,828.0
19,249.93,153.31,10400,85.0,829.0
20,304.8,153.31,10400,82.75,830.0
21,0.0,2.31,10401,90.0,831.0
22,60.96,2.31,10401,87.25,832.0
23,121.92,2.31,10401,83.5,833.0
24,182.88,2.31,10401,81.5,834.0
25,243.84,2.31,10401,77.75,835.0
26,0.0,2.31,10402,88.0,836.0
27,60.96,2.31,10402,84.0,837.0
28,128.01,2.31,10402,81.0,838.0
29,0.0,182.31,10416,90.0,874.0
30,60.96,176.65,10416,84.0,875.0
31,121.92,170.98,10416,80.0,876.0
32,182.88,165.31,10416,77.5,877.0
33,221.89,165.31,10416,76.0,878.0
34,0.0,2.31,10421,80.0,888.0
35,121.92,2.31,10421,79.0,889.0
36,0.0,2.31,10422,90.0,890.0
37,60.96,2.31,10422,86.0,891.0
38,121.92,2.31,10422,86.0,892.0
39,182.88,2.31,10422,87.0,893.0
40,243.84,2.31,10422,83.5,894.0
41,304.8,2.31,10422,82.0,895.0
42,364.23,2.31,10422,82.0,896.0
43,365.76,2.31,10422,82.0,897.0
44,426.72,2.31,10422,74.0,898.0
45,0.0,353.31,11,34.0,1982.0
46,30.48,353.31,11,34.0,1983.0
47,60.96,353.31,11,30.0,1984.0
48,0.0,2.31,11241,90.0,2503.0
0,900.0,2.31,11241,90.0,
49,0.0,2.31,11242,90.0,2504.0
0,900.0,2.31,11242,90.0,
50,0.0,2.31,11263,90.0,2540.0
0,900.0,2.31,11263,90.0,
51,0.0,2.31,11264,90.0,2541.0
0,900.0,2.31,11264,90.0,
52,0.0,2.31,11265,90.0,2542.0
0,900.0,2.31,11265,90.0,
53,0.0,2.31,1135,90.0,2685.0
0,900.0,2.31,1135,90.0,
54,0.0,2.31,1136,90.0,2703.0
0,900.0,2.31,1136,90.0,
55,0.0,180.31,11575,80.0,3204.0
56,60.96,180.31,11575,73.0,3205.0
57,121.92,180.31,11575,71.0,3206.0
58,182.88,180.31,11575,68.0,3207.0
59,228.6,182.31,11575,64.0,3208.0
60,243.84,182.31,11575,62.5,3209.0
61,0.0,182.31,11576,90.0,3210.0
62,53.34,174.96,11576,87.5,3211.0
63,76.2,171.81,11576,87.0,3212.0
64,77.72,171.81,11576,90.0,3213.0
65,0.0,182.31,11577,74.0,3214.0
66,30.48,182.31,11577,68.5,3215.0
67,60.96,182.31,11577,66.5,3216.0
68,0.0,208.88,11578,88.0,3217.0
69,60.96,205.35,11578,84.5,3218.0
70,118.26,202.03,11578,81.5,3219.0
71,173.12,198.85,11578,80.5,3220.0
72,218.23,196.23,11578,78.0,3221.0
73,234.08,195.31,11578,75.0,3222.0
74,0.0,182.31,11579,85.0,3223.0
75,60.96,186.07,11579,81.0,3224.0
76,113.69,189.31,11579,77.0,3225.0
77,0.0,168.31,11580,86.0,3229.0
78,60.96,168.31,11580,84.0,3230.0
79,121.92,168.31,11580,76.0,3231.0
80,177.39,174.31,11580,74.0,3232.0
81,218.84,174.31,11580,77.5,3233.0
82,0.0,182.31,11621,76.27,3306.0
83,45.72,185.81,11621,75.0,3307.0
84,91.44,189.31,11621,73.0,3308.0
85,0.0,172.84,11622,76.0,3309.0
86,45.72,181.08,11622,75.0,3310.0
87,91.44,189.31,11622,67.0,3311.0
88,0.0,181.39,11658,74.45,3382.0
89,45.72,183.27,11658,72.5,3383.0
90,91.44,185.16,11658,68.5,3384.0
91,170.07,188.4,11658,61.5,3385.0
92,228.6,190.81,11658,57.0,3386.0
93,265.17,192.31,11658,57.0,3387.0
94,0.0,353.31,12,59.0,4131.0
95,30.48,353.31,12,61.0,4132.0
96,54.86,353.31,12,59.0,4133.0
97,67.05,353.31,12,59.0,4134.0
98,91.44,353.31,12,57.0,4135.0
99,121.92,353.31,12,54.0,4136.0
100,152.4,353.31,12,52.0,4137.0
101,0.0,353.31,13,40.0,6254.0
102,30.48,353.31,13,37.0,6255.0
103,60.96,353.31,13,30.0,6256.0
104,91.44,353.31,13,24.0,6257.0
105,121.92,353.31,13,20.0,6258.0
106,0.0,182.31,13614,39.0,7673.0
107,9.14,182.31,13614,38.0,7674.0
108,16.15,182.31,13614,37.0,7675.0
109,0.0,191.31,14,45.0,8416.0
110,30.48,191.31,14,45.0,8417.0
111,60.96,191.31,14,43.0,8418.0
112,0.0,358.31,14341,50.0,9116.0
113,12.19,358.31,14341,50.0,9117.0
114,28.95,358.31,14341,49.0,9118.0
115,41.14,358.31,14341,48.0,9119.0
116,82.9,357.31,14341,47.0,9120.0
