BHID,XCOLLAR,YCOLLAR,ZCOLLAR,LENGTH
0,4.533053515,0,99.72717733,79.1442367
1,35.59286464,0,112.1511018,97.98223797
10,158.3210913,50,105.7712487,53.21835554
11,5.37250787,100,89.98950682,77.44859655
12,37.27177335,100,100.0629591,71.20243855
13,72.02518363,100,104.5960126,68.92998897
14,109.6327387,100,112.1511018,73.61819669
15,138.5099685,100,112.1511018,67.92570869
16,164.3651626,100,107.2822665,53.57015122
17,7.051416579,150,81.09129066,77.44859655
18,37.57579083,150,88.69017296,71.20243855
19,70.52317866,150,88.91989613,68.92998897
2,71.52151102,0,109.296957,79.07600601
20,103.6611466,150,97.88394799,73.61819669
21,132.4658972,150,101.7418678,67.92570869
23,7.051416579,200,81.09129066,67.76752198
24,38.1112277,200,86.29590766,52.96428827
25,71.01783841,200,77.3976915,35.54861153
26,104.8636299,200,79.52190244,27.60682376
27,132.8459349,200,86.07276956,31.35032709
28,157.0879451,200,89.40367528,29.76119512
3,105.4354669,0,94.01888772,57.43878387
4,145.0577125,0,96.03357817,61.14014241
5,11.24868835,50,105.6033578,93.32160638
6,45.83420776,50,111.81532,89.27578904
7,78.90870934,50,107.1143757,76.78376146
8,100.5666317,50,103.2528856,65.27309179
9,126.2539349,50,102.5813221,59.05351305
