KT3D ESTIMATES WITH:  Clustered 140 primary and secondary data                  
 2   50   50    1  .50000000      .50000000      .50000000      1.00000      1.00000      1.00000       1
Estimate
EstimationVariance
 2.8727570      .71070730    
 2.6892450      .59750930    
 2.3328290      .51630530    
 1.8493860      .52051170    
 1.2108130      .52048760    
 .72516760      .51555630    
 .54149780      .59510240    
 .69342740      .70035580    
 .72420550      .78128980    
 .79004910      .82712110    
 1.0578870      .83489580    
 1.1206290      .81720240    
 1.1658510      .78782030    
 1.2310060      .76040240    
 1.1711550      .74330340    
 1.0747360      .73753160    
 .99878290      .73156910    
 .91211500      .71187890    
 .81486110      .66373840    
 .69951930      .58704000    
 .69414810      .53292010    
 .80212180      .57968070    
 .94663910      .64368360    
 1.0676030      .66691650    
 1.1848580      .64072280    
 1.2453700      .57661970    
 1.3109950      .53242840    
 1.4879350      .59815850    
 1.7095210      .70689550    
 1.8577110      .80455520    
 1.9448260      .88028190    
 1.9691350      .93174420    
 1.9300280      .96085830    
 1.9645330      .97065940    
 1.9712970      .96823850    
 1.9592370      .95870600    
 1.9087350      .94669930    
 1.8599000      .93696230    
 1.8105270      .93337560    
 1.7458040      .93576050    
 1.6743870      .93946560    
 1.5915480      .93502560    
 1.5038440      .91166730    
 1.4021230      .86268720    
 1.2789820      .78406730    
 1.1168350      .67413450    
 .93377700      .53252600    
 .30999990      .00000000    
 .94785560      .53663760    
 1.1804800      .68278170    
 3.6232180      .67372310    
 3.4488070      .53034510    
 3.3300000      .00000000    
 2.4454670      .45380670    
 1.5852380      .45402790    
 .59999940E-01  .00000000    
 .46396210      .52802340    
 .51637180      .65889730    
 .45892680      .74429330    
 .47205620      .78534940    
 .82053640      .78013620    
 .85771720      .74266000    
 .96952750      .69002260    
 .92648520      .64261650    
 .86137660      .62245510    
 .77628580      .62392840    
 .70553700      .63737060    
 .64449660      .63917410    
 .55880550      .60074990    
 .42978160      .50703050    
 .89999910E-01  .00000000    
 .58212840      .50153100    
 .79068160      .58827190    
 .96012910      .61323150    
 1.1139450      .57859130    
 1.1727990      .49102280    
 .89000000      .00000000    
 1.4523680      .52423540    
 1.7023070      .66686940    
 1.8600450      .77826500    
 1.9170960      .86056180    
 1.8825410      .91227970    
 1.8547580      .93768720    
 1.8541000      .94269740    
 1.8195620      .93490700    
 1.7727680      .91898200    
 1.6964090      .89954600    
 1.6209500      .88279530    
 1.5663060      .87574770    
 1.5135120      .88050960    
 1.4663080      .89093980    
 1.4154060      .89567180    
 1.3653320      .88116940    
 1.3051720      .84015920    
 1.2262260      .77119070    
 1.1048690      .67826300    
 .99381180      .57579680    
 .94111680      .52079020    
 1.0493900      .59195690    
 1.2375150      .70832280    
 4.5960280      .67989210    
 4.4076370      .57284200    
 4.1732820      .50012280    
 3.4414190      .51008450    
 2.3449740      .51056380    
 1.3290350      .50352500    
 .75591210      .57354740    
 .55815390      .66294800    
 .35852500      .72533920    
 .25162550      .74936010    
 .38527150      .72826920    
 .62992180      .66934170    
 .70472050      .57989760    
 .62941410      .50055390    
 .56555290      .48714320    
 .49339450      .48956450    
 .43421050      .54078330    
 .43253290      .58234690    
 .38705190      .57454820    
 .30633440      .52172160    
 .33593140      .47611310    
 .49687910      .51402550    
 .71867670      .56560790    
 .94392760      .57719860    
 1.1415150      .54213210    
 1.2423830      .48470210    
 1.3818680      .46431360    
 1.5465490      .54898180    
 1.7488160      .66763930    
 1.8801400      .76870570    
 1.8850630      .84035350    
 1.7878360      .88615720    
 1.7889060      .90267870    
 1.7404130      .90162030    
 1.6588120      .88786610    
 1.5541090      .86391290    
 1.4422100      .83299140    
 1.3391380      .80432920    
 1.2838990      .79112920    
 1.2563270      .80012480    
 1.2527120      .82193520    
 1.2587260      .84025340    
 1.2636620      .83872940    
 1.2603690      .81034650    
 1.2103340      .75829650    
 1.1832000      .69479980    
 1.1569100      .64166550    
 1.1679280      .63008460    
 1.2427780      .67816290    
 1.3737190      .76080230    
 5.7690740      .69640070    
 5.9819580      .63474940    
 5.4661930      .60166760    
 4.6002660      .60297760    
 3.2195800      .60295210    
 2.0900370      .61239730    
 1.2134270      .64310840    
 .72860350      .68313720    
 .39435350      .70961520    
 .16033270      .71338750    
 .18370100      .68306080    
 .46946310      .61815140    
 .51823620      .50638830    
 .19000010      .00000000    
 .35138810      .40551410    
 .99999900E-01  .00000000    
 .28516010      .47865250    
 .30624040      .54825900    
 .26305600      .56167860    
 .26622580      .54182700    
 .32329870      .51876310    
 .47223780      .52190990    
 .70335330      .54497410    
 .97265980      .54625800    
 1.1945610      .50360100    
 1.4262770      .45581530    
 1.5591610      .49571210    
 1.6568020      .58747780    
 1.8092080      .68218470    
 1.8978720      .76082300    
 1.8665820      .81740490    
 1.7382600      .84789920    
 1.7057880      .85200730    
 1.6253710      .84318450    
 1.5025490      .82526240    
 1.3231650      .79536110    
 1.1653520      .75011560    
 1.0338510      .70104780    
 .97868510      .67608840    
 .98476860      .69465660    
 1.0393730      .73606400    
 1.1218150      .77009100    
 1.2011220      .78121980    
 1.2648150      .76384200    
 1.2824910      .72481760    
 1.3214830      .68498660    
 1.3549730      .66801570    
 1.3997890      .68641010    
 1.4636600      .73809190    
 1.5538140      .80757850    
 7.2826350      .68207170    
 6.9585100      .65096740    
 6.8056840      .64705650    
 5.8478570      .66241770    
 4.1926670      .66258690    
 2.9442100      .67115620    
 1.8986350      .67678620    
 1.0096480      .67827730    
 .51244440      .67404470    
 .16422630      .66328190    
 .42224500      .63517760    
 .49317910      .59576670    
 .44679980      .53166850    
 .39417840      .47391040    
 .32380560      .46917330    
 .28668980      .46823770    
 .28749230      .50579710    
 .28310780      .53113270    
 .28357290      .53232800    
 .27693490      .52178090    
 .32615410      .49214380    
 .45670740      .46763070    
 .71587440      .50400350    
 1.0289930      .52420650    
 1.2831740      .47483700    
 1.8100000      .00000000    
 1.6558530      .49914960    
 1.7202860      .61404910    
 1.7781650      .70020090    
 1.8351810      .75456090    
 1.8237980      .78497150    
 1.6699070      .79385730    
 1.6016190      .78099510    
 1.4921730      .76369320    
 1.3479560      .74683670    
 1.1676380      .71979440    
 .91967130      .66391710    
 .74634250      .58354120    
 .65943980      .52785710    
 .71467580      .57139410    
 .84860610      .64063560    
 1.0112480      .69066740    
 1.1748060      .71122620    
 1.2872640      .69815640    
 1.4080240      .65836740    
 1.5031030      .62847400    
 1.5773890      .64322670    
 1.6400640      .69640050    
 1.6951240      .76631550    
 1.7543260      .83765440    
 8.7412990      .61665690    
 8.6677460      .61026460    
 8.5718000      .64016420    
 7.0592760      .66761510    
 5.0994960      .67278860    
 3.6264880      .67960300    
 2.3638690      .66406160    
 1.3058050      .63285110    
 .78615110      .59960860    
 .40058470      .58195410    
 .46758740      .57292160    
 .44768440      .57448770    
 .42769860      .57404610    
 .43961720      .56940280    
 .40326320      .56888510    
 .38475540      .56404570    
 .34204670      .55010190    
 .35394120      .50956010    
 .30984970      .46783250    
 .35192450      .47660210    
 .38994380      .45196990    
 .19000010      .00000000    
 .76244520      .47850110    
 1.0102570      .53901280    
 1.3005010      .52900730    
 1.5483680      .50778360    
 1.6561420      .56783780    
 1.7162420      .64898560    
 1.7252820      .70500210    
 1.7963450      .73352360    
 1.7618110      .73800480    
 1.5914340      .72140960    
 1.4879090      .68561420    
 1.3516220      .65810570    
 1.2333550      .65286330    
 1.0174840      .64532960    
 .74557650      .60078470    
 .54571180      .50248710    
 .79999920E-01  .00000000    
 .49946590      .47462790    
 .70157500      .55201260    
 .93737230      .60858920    
 1.1789820      .63847990    
 1.3895450      .62405470    
 1.5640540      .56466000    
 1.6984150      .51826780    
 1.7987380      .57747870    
 1.8735310      .67912210    
 1.9248340      .77452560    
 1.9622960      .85420280    
 10.291770      .50704020    
 10.320990      .53182750    
 9.4219150      .58855400    
 8.9894450      .65781950    
 6.6748010      .67880550    
 4.4843790      .65401830    
 2.9067090      .62261430    
 1.5535980      .55398260    
 .83052840      .48719030    
 .42434590      .47511270    
 .26235030      .47531300    
 .44236790      .53095360    
 .42701350      .59356780    
 .45964850      .63124010    
 .48172950      .64458350    
 .51226970      .63273240    
 .53079550      .58909220    
 .55438960      .49907750    
 .34000000      .00000000    
 .49541710      .46000210    
 .58010410      .48705760    
 .70022440      .48296540    
 .89461800      .53523140    
 1.0665650      .59001850    
 1.2958560      .60943520    
 1.4925490      .61840480    
 1.5993870      .64656180    
 1.6295200      .68352380    
 1.6685550      .70271390    
 1.7567200      .69336890    
 1.6534080      .67548910    
 1.5214530      .63563220    
 1.3778610      .57103420    
 1.2617840      .51929560    
 1.1027590      .55173240    
 .90759690      .58776850    
 .65972480      .57788970    
 .49770550      .52087800    
 .39412620      .46025030    
 .42487750      .45439890    
 .60591690      .46608020    
 .90539500      .52819140    
 1.2292560      .57871340    
 1.5069660      .56970350    
 1.7212120      .49500110    
 1.8900000      .00000000    
 1.9851590      .52895100    
 2.0612690      .66954230    
 2.1077770      .78025420    
 2.1368600      .86454370    
 12.740000      .00000000    
 11.842790      .39588640    
 10.303060      .45013410    
 9.1132760      .53598790    
 6.7284560      .58877590    
 4.9517620      .62190930    
 3.2454910      .59363410    
 1.8819280      .49913730    
 .28000000      .00000000    
 .48628370      .40540030    
 .26000000      .00000000    
 .43928240      .49982630    
 .49905150      .60648890    
 .56569280      .66693990    
 .66985770      .69009160    
 .72815950      .68227710    
 .72808350      .64208530    
 .83875810      .56882560    
 .78588100      .50881250    
 .78725040      .52992580    
 .78243260      .55947890    
 .92218830      .57453420    
 1.0560210      .60359690    
 1.1394170      .64139720    
 1.2970470      .66632280    
 1.4031030      .68236150    
 1.4761170      .69212190    
 1.5275840      .69128840    
 1.5748620      .67226270    
 1.5937220      .63296170    
 1.5804280      .59401420    
 1.4640560      .55665670    
 1.3340630      .48329150    
 .92000010      .00000000    
 1.0061390      .48157090    
 .85969360      .55286420    
 .72762550      .57628730    
 .55519760      .56144120    
 .49297080      .52419080    
 .48817600      .46198700    
 .19000010      .00000000    
 .95936300      .47770750    
 1.3448410      .54413970    
 1.6512010      .54979970    
 1.8763830      .51557590    
 2.0273190      .49632320    
 2.1291040      .57576620    
 2.1967850      .69144410    
 2.2336480      .79398150    
 2.2553600      .87400290    
 6.4900000      .00000000    
 20.350000      .00000000    
 8.9000000      .00000000    
 8.3793320      .41920640    
 6.5195180      .54961080    
 4.5580610      .57398490    
 2.9685720      .57601510    
 1.7273360      .52414070    
 1.0849820      .46968560    
 .58396300      .46716250    
 .40635840      .47812680    
 .59830870      .54933790    
 .63651900      .62912210    
 .74496330      .68296880    
 .81588940      .70974270    
 .95592460      .71080640    
 1.0320830      .69131740    
 1.0809150      .65390340    
 .98377110      .62146070    
 1.0468050      .61247470    
 1.0706640      .61602010    
 1.0404960      .62135260    
 1.1073220      .63299110    
 1.1894040      .66005360    
 1.2391880      .68833300    
 1.3067570      .70115540    
 1.3500640      .69500970    
 1.3825300      .66713640    
 1.4643450      .61375120    
 1.4955450      .54586510    
 1.5168290      .48885980    
 1.4653480      .49396680    
 1.2961600      .48497900    
 1.1364200      .45945720    
 .97232870      .48792380    
 .87645960      .52927420    
 .79522900      .56671800    
 .67894020      .58605050    
 .66730180      .57594910    
 .75294770      .53309240    
 .86981080      .48897160    
 1.1638910      .50984020    
 1.5007190      .53173360    
 1.8236710      .53347680    
 2.0253050      .54032940    
 2.1453310      .57071570    
 2.2215540      .63624050    
 2.2713550      .72346130    
 2.2966120      .80923460    
 2.3229950      .88103760    
 15.770000      .00000000    
 7.5600000      .00000000    
 6.2600000      .00000000    
 7.9200000      .00000000    
 5.6880850      .50186870    
 3.8890180      .55241030    
 2.8663170      .57559100    
 1.8682300      .56334640    
 1.1655370      .55042990    
 .73164980      .55348460    
 .50527480      .56953910    
 .73434030      .60401910    
 .91091190      .64421740    
 .98320980      .66933540    
-.96077920E-02  .69058820    
 .10736040      .70413060    
 .26082750      .70823620    
 1.1422750      .69226870    
 1.0814050      .67598290    
 1.0242650      .66119400    
 .96897950      .64004330    
 .94798870      .61502120    
 1.0774800      .60716100    
 1.0095710      .63336470    
 1.1991480      .66901730    
 1.1975520      .68391350    
 1.1938610      .66475780    
 1.1878390      .61507580    
 1.2422350      .54722120    
 1.3240210      .46877400    
 1.7000000      .00000000    
 1.3266640      .46572730    
 1.2519080      .51369030    
 1.1440830      .51113000    
 1.0487720      .48618710    
 .93365740      .47307720    
 .90180410      .53265550    
 .84582340      .59636960    
 .89021500      .62348820    
 1.0178590      .61585090    
 1.1766690      .58730270    
 1.4229110      .55686930    
 1.7170520      .51130060    
 1.9739790      .47602040    
 2.1440620      .51796170    
 2.2049110      .58759960    
 2.2439570      .65971480    
 2.2723400      .73638820    
 2.3081620      .81241380    
 2.3180030      .87959220    
 8.8666200      .45648340    
 7.2199030      .39595980    
 2.5500000      .00000000    
 5.4357560      .40860190    
 4.8341530      .49480250    
 3.9356240      .54863750    
 2.7700870      .56308510    
 1.7663720      .55949900    
 1.1320360      .57022870    
 .77804670      .59276460    
 .59455100      .60849960    
 .96282720E-01  .61389800    
 .29732630      .61274330    
 .57492720      .62060490    
 .74374400      .63103620    
 .75837850      .65704680    
 1.2947290      .67701140    
 .77934850      .67854760    
 .74893630      .67862610    
 .74955120      .66366470    
 .66609470      .62234900    
 .71413660      .55621900    
 1.2432580      .51357810    
 1.1016680      .56293870    
 .97838520      .62744120    
 1.0565340      .65021600    
 1.0065680      .61849710    
 .93710490      .54187990    
 .93026450      .46794350    
 1.0341950      .45387600    
 1.1277560      .46004690    
 1.1306380      .51325400    
 1.1499760      .55093900    
 1.1115740      .53809990    
 1.0767940      .47245970    
 .96000000      .00000000    
 1.0308950      .50571650    
 .98950450      .61465980    
 1.0578770      .67081410    
 1.2498180      .68139650    
 1.3772290      .65755580    
 1.5975420      .60001520    
 1.8430030      .49937180    
 2.4700000      .00000000    
 2.1488330      .48287710    
 2.1372040      .57332550    
 2.1988120      .64422120    
 2.2150790      .71762660    
 2.2336150      .79430060    
 2.2368160      .86544260    
 8.0606380      .52341020    
 7.2958020      .45451100    
 6.5898310      .42425440    
 5.6345510      .46903120    
 4.5867870      .51381240    
 3.8081100      .54637210    
 2.4893270      .51736340    
 1.5597590      .49123740    
 1.0425670      .53357110    
 .79021260      .58751520    
-.24781250      .60668900    
 .38138390      .59162160    
 .67128920      .54369210    
 1.0622670      .50530310    
 1.5615400      .54380100    
 2.2551000      .59343520    
 1.9604990      .59956590    
 2.0118230      .64915170    
 1.9117540      .64147900    
 1.6162980      .63838370    
 1.4137210      .59876660    
 1.7509920      .50687820    
 1.3400000      .00000000    
 1.2119110      .50939570    
 .96189480      .59756820    
 .78095790      .61902090    
 .84375500      .57720080    
 .72793110      .48257900    
 .28000000      .00000000    
 .72879090      .45829810    
 .85352790      .52687960    
 .92688210      .57116400    
 1.0268260      .58683760    
 1.0643470      .56324580    
 1.1090100      .51210980    
 1.1375360      .48494670    
 1.0710590      .55497150    
 1.0990520      .64872550    
 1.1700500      .71534850    
 1.2677830      .73587440    
 1.5287480      .71713090    
 1.5925920      .65340760    
 1.7953030      .56280340    
 1.9628910      .48988700    
 2.0105130      .50446580    
 2.0113180      .54397740    
 2.0533230      .59006910    
 2.0774250      .66306880    
 2.1263050      .75350650    
 2.1542690      .83866850    
 7.9334290      .54763610    
 7.5777820      .46166290    
 6.3677840      .42408690    
 6.0382390      .46903120    
 4.6458330      .50852720    
 3.5640190      .52901770    
 2.4676970      .48232490    
 .71000000      .00000000    
 .91477010      .49409800    
 .72681110      .57124020    
 .22838090      .58899440    
 .81293740      .56010450    
 1.2951470      .48249400    
 1.2700000      .00000000    
 2.7726380      .45988140    
 3.1720740      .49024220    
 3.1018990      .48789220    
 2.7163100      .52959050    
