Complete Gridded Primary and Secondary data  nx,ny = 50, x and min = 0.5, x and y size 1
2
Primary
Secondary
 2.26  3.26
 3.28  2.64
 2.80  2.15
  .95  1.69
  .12   .51
  .13   .27
  .39   .16
  .24   .31
  .30   .39
  .22   .40
  .18   .42
  .26   .42
  .55   .30
  .12   .25
  .44   .32
  .14   .57
  .50   .61
  .82   .64
  .51   .69
  .73   .65
  .36   .46
  .16   .42
  .10   .47
  .47   .49
  .52   .60
  .29   .66
  .98   .94
 2.14  1.44
 1.31  1.85
 1.97  2.22
 4.18  2.84
 3.30  2.72
 1.77  2.20
  .68  1.73
  .13  1.26
  .54   .65
  .56   .61
  .38   .69
 1.15   .90
 1.55   .94
  .24   .87
  .18   .77
  .09   .66
  .16   .47
  .09   .67
  .83  1.02
  .56  1.71
  .31  2.88
  .95  3.50
 1.08  4.15
 4.65  2.84
 1.64  2.32
 3.33  1.89
  .66  1.51
  .17   .56
  .06   .28
  .12   .17
  .16   .30
  .55   .36
  .56   .37
  .83   .38
  .35   .37
  .32   .27
  .11   .23
  .48   .27
  .16   .47
  .19   .50
  .23   .52
  .17   .55
  .21   .52
  .09   .39
  .14   .36
  .19   .42
  .45   .48
  .88   .61
 1.15   .77
  .89  1.01
  .87  1.43
 1.94  1.78
 2.49  2.08
 4.70  2.51
 4.22  2.46
 1.85  2.04
 1.12  1.65
  .15  1.27
  .24   .72
  .22   .63
  .23   .69
  .77   .83
  .84   .88
  .23   .85
  .11   .80
  .15   .68
  .03   .56
  .04   .70
  .17  1.15
  .90  1.82
 4.57  3.41
 3.49  4.14
 2.35  5.03
 1.63  2.65
 2.17  2.18
 1.14  1.83
  .56  1.50
  .17   .66
  .05   .37
  .17   .29
  .20   .34
  .22   .36
  .19   .34
  .64   .35
  .05   .31
  .19   .23
  .16   .22
  .22   .25
  .19   .41
  .09   .44
  .21   .45
  .12   .47
  .06   .45
  .10   .34
  .25   .34
  .08   .49
  .12   .58
  .68   .71
  .80   .91
  .75  1.12
 1.94  1.44
 6.61  1.70
 3.20  1.93
 5.25  2.27
 6.45  2.23
 1.05  1.85
 2.49  1.51
  .11  1.21
  .01   .71
  .20   .62
  .24   .66
  .15   .80
  .70   .87
  .72   .90
  .33   .88
  .27   .78
  .16   .65
  .04   .73
  .50  1.13
  .88  1.70
 1.42  3.05
 4.66  3.69
 2.83  4.48
 1.34  3.07
 7.14  2.61
 4.02  2.27
  .21  1.96
  .22   .98
  .46   .69
  .27   .54
  .22   .44
  .23   .37
  .37   .33
  .14   .31
  .12   .24
  .02   .19
  .19   .18
  .11   .17
  .10   .21
  .15   .22
  .09   .21
  .12   .20
  .06   .22
  .08   .26
  .10   .30
  .03   .55
  .09   .72
  .32   .84
 1.42  1.03
 1.04  1.15
 1.91  1.21
 2.80  1.40
 6.01  1.53
 2.14  1.66
 2.37  1.68
  .47  1.48
  .46  1.19
  .13   .99
  .33   .67
  .19   .57
  .21   .58
  .42   .68
  .71   .76
  .25   .85
  .42   .91
  .40   .89
  .22   .84
  .07   .85
  .55  1.15
  .35  1.65
  .66  2.83
 1.08  3.35
 1.68  4.13
  .94  4.02
 4.57  3.72
 4.30  3.37
 2.59  2.64
  .95  1.75
  .83  1.34
  .17   .92
  .28   .57
  .27   .45
  .32   .39
  .49   .32
  .05   .21
  .09   .18
  .08   .16
  .09   .16
  .08   .18
  .03   .19
  .03   .20
  .15   .19
  .09   .21
  .05   .28
  .22   .35
  .19   .62
  .16   .87
  .32  1.12
 1.81  1.37
 1.69  1.63
 2.52  1.81
 1.61  2.13
 4.20  2.22
 5.51  2.22
 3.52  2.03
  .41  1.69
  .50  1.19
  .26   .89
  .02   .60
  .09   .49
  .14   .49
  .26   .56
  .22   .66
  .18   .83
  .09  1.04
 2.06  1.14
  .33  1.14
  .80  1.13
 1.51  1.38
  .34  1.69
  .47  2.71
