,BHID,FROM,TO,AU_AVG_GT
23,10,27.91968,29.13888,11.314
24,10,29.13888,30.0228,2.743
25,10,30.0228,30.66288,20.571
26,10,30.66288,32.18688,51.771
27,10,32.18688,32.64408,3.6
28,10,32.64408,33.528,3.6
29,10,35.6616,36.4236,0.686
30,10,36.4236,36.78936,3.6
31,10,36.78936,37.39896,0.686
2335,10165,4.78536,5.09016,0.09
2336,10165,18.50136,18.80616,0.02
2337,10165,35.3568,35.6616,0.02
2338,10165,80.772,81.0768,0.02
2339,10165,94.9452,95.25,0.02
2340,10165,95.5548,95.8596,0.02
2341,10165,97.0788,97.3836,0.02
2342,10165,98.1456,98.4504,0.02
2343,10165,113.0808,113.6904,0.02
2344,10165,113.6904,114.3,0.02
2345,10165,114.3,114.9096,0.02
2346,10165,114.9096,115.5192,0.02
2347,10165,140.5128,140.8176,5.23
2348,10165,143.68272,143.98752,0.17
2349,10165,158.6484,158.9532,0.09
2350,10165,223.7232,224.1804,0.26
2351,10165,264.2616,264.5664,0.02
2352,10166,60.59424,60.89904,1.971
2353,10166,80.772,81.0768,0.086
2354,10166,81.3816,81.6864,0.257
2355,10166,88.14816,88.45296,2.829
2356,10166,89.3064,89.6112,0.686
2357,10166,94.1832,94.488,4.2
2358,10166,96.3168,96.6216,0.171
2359,10166,104.394,104.6988,0.171
2360,10166,105.52176,105.82656,0.086
2361,10166,106.0704,106.3752,1.2
7320,10400,8.44296,8.74776,0.026
7321,10400,29.50464,29.80944,0.171
7322,10400,34.1376,34.4424,2.272
7323,10400,39.1668,39.4716,0.171
7324,10400,56.35752,56.66232,2.657
7325,10400,64.3128,64.77,8.529
7326,10400,65.3796,65.6844,1.543
7327,10400,71.1708,71.4756,0.026
7328,10400,82.4484,82.7532,0.171
7329,10400,85.1916,85.6488,1.714
7330,10400,98.1456,98.7552,0.686
7331,10400,105.6132,106.0704,0.171
7332,10400,110.6424,110.9472,0.171
7333,10400,141.732,142.494,1.843
7334,10400,142.76832,143.07312,0.257
7335,10400,147.828,148.1328,0.026
7336,10400,171.1452,171.45,0.086
7337,10400,172.15104,172.45584,0.171
7338,10400,175.26,175.5648,0.171
7339,10400,180.1368,180.53304,0.171
7340,10400,207.4164,207.7212,0.171
7341,10400,212.9028,213.36,0.257
7342,10400,267.1572,267.462,0.429
7343,10400,268.0716,268.3764,0.643
7344,10400,268.6812,268.986,0.686
7345,10400,274.9296,275.6916,0.026
7346,10400,292.608,293.0652,0.086
7347,10400,295.3512,295.8084,0.086
7348,10401,11.52144,11.82624,0.257
7349,10401,25.08504,25.38984,1.114
7350,10401,41.7576,42.2148,0.171
7351,10401,49.0728,49.3776,0.171
7352,10401,55.9308,56.2356,56.4
7353,10401,62.0268,62.3316,0.257
7354,10401,84.4296,84.7344,19.886
7355,10401,107.2896,107.5944,0.171
7356,10401,110.49,110.7948,0.171
7357,10401,115.2144,115.824,0.086
7358,10401,123.5964,123.9012,0.171
7359,10401,166.878,167.64,0.086
7360,10401,167.64,168.5544,0.086
7361,10401,172.212,172.974,0.086
7362,10401,206.59344,206.89824,0.086
7363,10401,216.1032,216.408,0.086
7364,10401,228.4476,229.6668,0.257
7365,10401,229.9716,230.2764,0.086
7366,10401,230.7336,231.0384,0.026
7367,10401,231.1908,231.4956,0.026
7368,10401,232.41,232.7148,0.026
7369,10401,233.172,233.4768,0.257
7370,10401,243.62664,243.93144,0.086
7371,10401,247.8024,248.1072,0.086
7372,10401,252.8316,253.1364,0.026
7373,10401,284.3784,284.8356,0.429
7374,10401,284.988,285.4452,1.114
7375,10401,291.3888,291.6936,0.343
7376,10401,295.0464,295.3512,0.086
7377,10401,296.7228,297.0276,0.171
7378,10401,297.7896,298.0944,0.171
7379,10402,29.5656,29.8704,0.026
7380,10402,44.6532,45.1104,0.026
7381,10402,91.5924,92.202,0.026
7382,10402,94.7928,95.0976,0.026
7383,10402,100.584,101.0412,0.514
7384,10402,106.8324,107.1372,0.171
7385,10402,108.204,108.5088,0.026
7386,10402,109.728,110.0328,0.026
7387,10402,110.7948,111.252,0.171
7388,10402,113.538,113.8428,0.343
7389,10402,114.1476,114.6048,0.026
7390,10402,115.12296,115.42776,0.026
7391,10402,120.8532,121.158,0.026
7768,10416,9.144,9.4488,0.343
7769,10416,11.5824,11.8872,0.026
7770,10416,18.1356,18.7452,0.026
7771,10416,19.05,19.3548,0.026
7772,10416,23.7744,24.384,0.026
7773,10416,35.6616,35.9664,0.026
