,BHID,XCOLLAR,YCOLLAR,ZCOLLAR,AZ_UTM,DIP,LENGTH_M,NO_DATA,DOUBTFUL_C
0,10,294740.31,5331086.7,316.44,173.31,-43.0,39.92,,
185,10165,294394.4,5330868.32,321.16,2.31,-90.0,487.68,,
186,10166,294620.21,5330946.49,318.87,2.31,-90.0,106.68,,
495,10398,293904.49,5331161.53,317.21,2.31,-90.0,58.52,No_Assay,
496,10399,293930.68,5331151.06,318.36,2.31,-80.0,56.08,No_Assay,
499,10400,294809.99,5330977.94,317.43,182.31,-90.0,304.8,,
500,10401,294625.29,5330986.78,316.88,2.31,-90.0,298.7,,
501,10402,294459.93,5330999.38,315.36,2.31,-88.0,140.51,,
516,10416,294374.37,5330999.18,315.74,182.31,-90.0,229.51,,
522,10421,294313.99,5331026.85,317.7,2.31,-80.0,152.7,,
523,10422,294237.97,5331016.06,320.17,2.31,-90.0,488.59,,
1211,11,294741.91,5331088.71,317.05,353.31,-34.0,78.33,,
1493,11241,294081.88,5331174.75,309.53,2.31,-90.0,49.98,No_Assay,
1494,11242,294123.66,5331181.9,309.22,2.31,-90.0,42.97,No_Assay,
1517,11263,294352.69,5331225.72,308.85,2.31,-90.0,18.33,No_Assay,
1518,11264,294226.12,5331113.09,315.53,2.31,-90.0,27.27,No_Assay,
1519,11265,294580.83,5331023.39,316.08,2.31,-90.0,15.59,No_Assay,
1614,1135,294646.32,5331074.13,315.94,2.31,-90.0,67.05,,
1625,1136,294651.21,5331059.97,315.1,2.31,-90.0,61.56,,
1979,11575,294888.87,5331067.2,317.94,180.88,-80.0,255.42,,
1980,11576,294874.85,5331098.41,316.79,182.31,-90.0,77.72,,
1981,11577,294877.31,5331158.89,316.86,182.31,-74.0,103.02,,
1982,11578,294812.75,5331137.41,316.61,208.88,-88.0,237.13,,
1983,11579,294820.26,5331087.08,316.95,182.31,-85.0,115.21,,
1985,11580,294813.05,5331028.31,316.85,169.23,-86.0,218.84,,
2037,11621,294849.84,5331166.87,316.79,182.31,-76.27,91.44,,
2038,11622,294850.75,5331218.93,316.47,172.84,-76.0,99.97,,
2092,11658,294877.86,5331168.54,316.87,181.39,-74.45,274.32,,
2520,12,294686.86,5330952.54,318.46,353.31,-59.0,197.81,,
3760,13,294448.54,5330937.02,319.79,353.31,-40.0,193.85,,
4448,13614,294679.9,5331132.56,311.29,182.31,-39.0,38.4,,
4874,14,294767.94,5331100.2,316.87,191.31,-45.0,73.3,,
5251,14341,295101.89,5331044.71,317.39,358.31,-50.0,239.26,,
5252,14342,295101.89,5331044.71,317.39,2.31,-70.0,416.35,,
5253,14343,295143.61,5331057.97,315.87,2.31,-50.0,245.36,,
5254,14344,295143.61,5331057.97,315.87,2.31,-65.0,355.54,,
5255,14345,295194.81,5331079.39,314.65,2.31,-50.0,248.71,,
5317,14400,295194.81,5331079.39,314.65,2.31,-75.0,419.4,,
5949,14972,294592.29,5330889.77,324.71,2.31,-76.0,395.63,,
5950,14973,294487.84,5330858.01,324.33,2.31,-74.0,413.91,,
5951,14974,294407.0,5330833.45,321.74,2.31,-66.0,429.15,,
5952,14975,294316.76,5330806.08,324.16,2.31,-60.0,429.15,,
5953,14976,294219.54,5330863.68,323.12,2.31,-70.0,397.76,,
5954,14977,294131.26,5330919.92,321.63,2.31,-75.0,395.93,,
5955,14978,294053.15,5331134.76,312.78,182.31,-65.0,368.19,,
5979,15,294768.93,5331089.24,316.99,353.31,-36.0,95.85,,
6009,15025,294550.68,5330992.61,318.81,182.31,-49.0,185.31,,
6010,15026,294459.57,5331002.46,314.67,182.31,-50.0,264.56,,
6284,15273,295199.87,5331195.38,323.6,361.96,-60.0,397.91,,
6285,15274,295109.28,5331221.63,324.64,361.61,-44.0,277.58,,
6286,15275,293803.75,5331419.39,309.89,182.53,-65.0,502.92,,
6287,15276,293800.67,5331351.39,310.27,182.28,-59.0,426.01,,
6288,15277,293881.85,5331425.48,308.11,183.34,-59.0,426.72,,
7078,16,294797.74,5331103.84,317.02,173.31,-45.0,89.61,,
7121,16037,294838.85,5331253.7,316.51,360.94,-67.0,493.77,,
7122,16038,294881.61,5331248.89,319.04,361.43,-67.25,472.44,,
7123,16039,294783.52,5331257.55,312.76,4.04,-67.78,489.72,,
7335,16230,294308.54,5331118.67,314.89,2.31,-68.0,56.69,,
7336,16231,294311.29,5331186.03,308.98,2.31,-90.0,81.07,,
7337,16232,294312.45,5331202.17,308.76,2.31,-63.0,26.21,,
7338,16233,294312.65,5331214.99,308.81,2.31,-53.0,47.0,,
7339,16234,294311.48,5331236.71,308.62,2.31,-64.0,108.5,,
7340,16235,294283.31,5331184.4,308.53,182.31,-88.0,46.69,,
7341,16236,294283.33,5331185.21,308.55,2.31,-53.0,76.2,,
7342,16237,294283.09,5331229.07,308.37,182.31,-84.0,64.92,,
7343,16238,294251.69,5331172.15,309.62,182.31,-85.0,61.14,,
7344,16239,294251.78,5331172.15,309.59,2.31,-45.0,85.7,,
7346,16240,294257.55,5331220.6,308.14,182.31,-86.0,55.99,,
7347,16241,294229.46,5331220.17,308.8,2.31,-66.0,111.0,,
7348,16242,294229.04,5331156.84,309.64,2.31,-90.0,106.98,,
7349,16243,294229.51,5331187.95,309.41,2.31,-43.0,47.94,,
7350,16244,294229.47,5331220.63,308.79,182.31,-82.0,32.91,,
7351,16246,294201.92,5331196.49,309.4,2.31,-45.0,74.98,,
7352,16247,294202.07,5331197.34,309.31,182.31,-62.0,76.71,,
7403,16295,294202.07,5331197.34,309.31,2.31,-60.0,50.04,,
7469,16353,294202.44,5331193.87,309.28,2.31,-72.0,31.69,,
7470,16354,294201.98,5331193.59,309.28,182.31,-73.0,59.74,,
7471,16355,294231.26,5331221.88,308.66,182.31,-80.0,34.13,,
7472,16356,294229.89,5331185.18,309.3,182.31,-84.0,59.74,,
7473,16357,294262.62,5331188.48,308.81,182.31,-45.0,53.64,,
7474,16358,294262.76,5331189.61,308.72,2.31,-84.0,56.08,,
7475,16359,294283.59,5331201.95,308.51,2.31,-56.0,46.63,,
7477,16360,294284.79,5331227.87,308.57,182.31,-84.0,64.92,,
7478,16361,294311.95,5331206.32,308.55,2.31,-74.0,38.1,,
7479,16362,294619.71,5330994.36,318.91,2.31,-84.5,230.12,,
7498,16382,294311.95,5331206.38,308.46,2.31,-56.0,33.52,,
7499,16383,294284.75,5331227.85,308.55,182.31,-70.0,51.81,,
7815,16704,294325.44,5331191.59,308.55,2.31,-70.0,32.0,,
7816,16705,294326.08,5331207.27,308.55,2.31,-59.0,25.9,,
7817,16706,294326.51,5331217.96,308.55,2.31,-64.0,36.57,,
7818,16707,294326.92,5331228.13,308.55,2.31,-64.0,33.52,,
7819,16708,294270.77,5331200.45,308.55,2.31,-54.0,45.72,,
7820,16709,294271.22,5331211.59,308.55,2.31,-51.0,33.52,,
7822,16710,294297.67,5331206.38,308.55,2.31,-61.0,38.1,,
7823,16711,294298.01,5331214.66,308.55,2.31,-58.0,36.57,,
7824,16712,294256.78,5331192.53,308.55,2.31,-50.0,45.72,,
7825,16713,294257.28,5331204.81,308.55,2.31,-47.5,36.57,,
7826,16714,294284.27,5331193.4,308.55,2.31,-54.5,44.19,,
7827,16715,294285.08,5331213.38,308.55,2.31,-53.0,35.05,,
7828,16716,294285.37,5331220.45,308.55,182.31,-79.0,35.35,,
7829,16717,294312.45,5331211.33,308.55,2.31,-63.0,30.48,,
7830,16718,294312.91,5331222.6,308.55,2.31,-54.0,30.48,,
7841,16728,294339.72,5331214.34,308.55,2.31,-74.0,18.28,,
7842,16729,294340.04,5331222.11,308.55,2.31,-74.0,16.76,,
7844,16730,294340.41,5331231.25,308.55,2.31,-74.0,33.52,,
7845,16731,294326.51,5331223.27,308.55,2.31,-64.0,24.38,,
7846,16732,294299.86,5331235.63,308.55,182.31,-75.0,32.0,,
7847,16733,294298.45,5331200.76,308.55,2.31,-60.0,36.57,,
7848,16734,294272.29,5331228.97,308.55,182.31,-81.0,27.43,,
7849,16735,294271.87,5331218.46,308.55,182.31,-83.0,30.48,,
7850,16736,294271.01,5331197.3,308.55,2.31,-72.0,32.0,,
8141,17,294799.86,5331085.39,317.08,353.31,-35.0,60.5,,
8763,17563,294367.45,5331213.53,308.55,2.31,-65.0,22.25,,
8764,17564,294367.7,5331219.62,308.55,2.31,-65.0,32.3,,
8765,17565,294368.01,5331227.23,308.55,2.31,-65.0,31.08,,
8766,17566,294368.44,5331237.89,308.55,2.31,-65.0,32.61,,
8767,17567,294394.86,5331212.42,308.55,2.31,-65.0,46.93,,
8768,17568,294395.35,5331224.6,308.55,2.31,-65.0,38.7,,
8769,17569,294395.85,5331236.78,308.55,2.31,-65.0,31.08,,
8771,17570,294422.52,5331217.4,308.55,2.31,-65.0,31.08,,
8772,17571,294423.01,5331229.58,308.55,2.31,-65.0,44.8,,
8773,17572,294450.05,5331219.34,308.55,2.31,-65.0,31.39,,
8774,17573,294450.54,5331231.52,308.55,2.31,-65.0,41.45,,
8786,17586,294339.73,5331207.02,308.55,2.31,-70.0,22.55,,
8787,17587,294229.66,5331200.8,308.55,2.31,-45.0,40.53,,
8788,17588,294202.01,5331195.82,308.55,2.31,-90.0,39.01,,
8789,17589,294173.74,5331175.61,308.55,2.31,-45.0,52.12,,
8791,17590,294174.35,5331190.83,308.55,2.31,-45.0,44.5,,
8792,17591,294145.96,5331167.58,308.55,2.31,-40.0,62.48,,
8793,17592,294146.57,5331182.81,308.55,2.31,-40.0,53.03,,
8794,17593,294161.26,5331206.62,308.55,2.31,-90.0,39.01,,
8795,17594,294147.43,5331204.13,308.55,182.31,-85.0,51.2,,
8803,17600,294339.43,5331199.41,308.55,2.31,-75.0,32.91,,
8804,17601,294367.2,5331207.44,308.55,2.31,-65.0,26.51,,
8805,17602,294395.85,5331236.78,308.55,2.31,-90.0,42.06,,
8806,17603,294394.37,5331200.24,308.55,2.31,-65.0,36.88,,
8807,17604,294422.76,5331223.49,308.55,2.31,-65.0,32.61,,
8808,17605,294423.26,5331235.67,308.55,2.31,-65.0,19.2,,
8809,17606,294450.91,5331240.66,308.55,2.31,-65.0,42.06,No_Assay,
8810,17607,294463.75,5331218.78,308.55,2.31,-65.0,29.87,,
8811,17608,294464.25,5331230.96,308.55,2.31,-65.0,39.01,,
8812,17609,294213.49,5331140.44,308.55,2.31,-70.0,51.81,,
8814,17610,294213.49,5331140.44,308.55,2.31,-50.0,35.96,,
8815,17611,294213.49,5331140.44,308.55,182.31,-30.0,50.9,,
8816,17612,294199.79,5331141.0,308.55,2.31,-75.0,45.11,,
8817,17613,294199.79,5331141.0,308.55,2.31,-65.0,32.91,,
8818,17614,294199.79,5331141.0,308.55,182.31,-35.0,52.73,,
8819,17615,294185.72,5331132.42,308.55,2.31,-70.0,45.11,,
8820,17616,294185.72,5331132.42,308.55,2.31,-50.0,29.87,,
8821,17617,294185.72,5331132.42,308.55,182.31,-40.0,39.01,,
8844,17638,294368.93,5331250.07,308.55,182.31,-70.0,35.96,,
8845,17639,294423.38,5331238.72,308.55,182.31,-80.0,35.66,,
8847,17640,294445.25,5331243.94,308.55,2.31,-90.0,35.96,,
8848,17641,294465.05,5331250.76,308.55,182.31,-70.0,35.35,,
8849,17642,294491.29,5331220.72,308.55,2.31,-65.0,39.01,,
8850,17643,294496.35,5331232.72,308.55,2.31,-65.0,39.01,,
8851,17644,294518.7,5331219.61,308.55,2.31,-65.0,39.01,,
8852,17645,294519.19,5331231.79,308.55,2.31,-65.0,39.01,,
8880,17670,294519.68,5331243.97,308.55,182.31,-63.0,36.57,,
8881,17671,294549.15,5331218.38,308.55,2.31,-60.0,39.62,,
8882,17672,294549.15,5331218.38,308.55,2.31,-45.0,39.01,,
8883,17673,294573.64,5331220.44,308.55,2.31,-65.0,36.88,,
8884,17674,294573.95,5331228.05,308.55,2.31,-65.0,39.01,,
9060,17837,294419.05,5331147.93,316.17,182.31,-85.0,92.99,,
9061,17838,294419.05,5331147.93,316.17,182.31,-45.0,106.98,,
9062,17839,294416.63,5331081.13,315.01,182.31,-45.0,44.8,,
9064,17840,294511.7,5331267.8,310.43,182.31,-45.0,91.98,,
9065,17841,294507.54,5331159.67,315.62,182.31,-45.0,91.65,,
9066,17842,294507.54,5331159.67,315.62,2.31,-45.0,76.96,,
9067,17843,294504.05,5331082.89,314.65,182.31,-60.0,77.41,,
9068,17844,294611.79,5331258.55,311.6,182.31,-45.0,91.98,,
9069,17845,294607.85,5331157.99,316.51,182.31,-45.0,76.99,,
9070,17846,294607.53,5331158.7,316.62,2.31,-45.0,76.99,,
9071,17847,294604.33,5331077.24,315.35,182.31,-60.0,91.74,,
9081,17856,294416.66,5331081.74,315.01,182.31,-60.0,77.99,,
9107,17881,294481.33,5331171.23,314.3,2.31,-55.0,80.01,,
9108,17882,294481.33,5331171.23,314.3,2.31,-40.0,98.99,,
9109,17883,294483.31,5331213.68,308.97,2.31,-45.0,62.11,,
9110,17884,294535.59,5331183.17,316.58,2.31,-45.0,107.99,,
9111,17885,294535.62,5331184.08,316.58,2.31,-60.0,79.55,,
9112,17886,294537.68,5331221.94,312.35,2.31,-45.0,61.99,,
9118,17890,294562.29,5331175.6,313.44,2.31,-60.0,60.96,,
9119,17891,294562.34,5331176.9,313.44,2.31,-40.0,105.0,,
9120,17892,294563.85,5331209.04,312.58,2.31,-45.0,63.09,,
9121,17893,294589.76,5331162.67,316.23,2.31,-55.0,61.99,,
9122,17894,294589.78,5331163.78,316.24,2.31,-40.0,89.61,,
9123,17895,294589.17,5331210.35,311.84,2.31,-45.0,76.5,,
9124,17896,294593.49,5331250.58,311.05,2.31,-43.0,77.41,,
9125,17897,294596.25,5331309.53,309.99,2.31,-45.0,61.99,,
9126,17898,294452.59,5331158.62,312.92,2.31,-60.0,84.0,,
9127,17899,294452.59,5331158.62,312.92,2.31,-40.0,65.01,,
9130,17900,294422.3,5331166.68,312.16,182.31,-60.0,61.99,,
9131,17901,294422.38,5331161.68,312.34,2.31,-60.0,77.99,,
9132,17902,294422.38,5331160.19,312.64,2.31,-40.0,60.99,,
9152,17920,294367.06,5331162.6,315.44,2.31,-45.0,50.74,,
9153,17921,294367.23,5331160.74,315.65,2.31,-65.0,52.48,,
9154,17922,294314.81,5331155.08,313.72,2.31,-40.0,50.29,,
9155,17923,294314.81,5331153.87,313.88,2.31,-60.0,55.99,,
9156,17924,294641.77,5331172.41,313.54,2.31,-60.0,77.51,,
9157,17925,294641.77,5331172.41,313.54,2.31,-40.0,82.6,,
9158,17926,294643.77,5331205.4,311.7,2.31,-45.0,61.99,,
9159,17927,294508.01,5331178.39,315.17,2.31,-45.0,48.0,,
9160,17928,294508.55,5331198.59,314.78,2.31,-45.0,47.0,,
9161,17929,294641.77,5331173.33,313.54,182.31,-55.0,65.98,,
9163,17930,294482.34,5331204.76,310.53,182.31,-75.0,54.01,,
9164,17931,294537.19,5331234.21,313.51,182.31,-83.0,49.07,,
9165,17932,294536.09,5331200.97,313.38,182.31,-75.0,49.49,,
9166,17933,294564.75,5331228.39,313.48,182.31,-86.0,54.01,,
9167,17934,294563.97,5331204.75,314.26,2.31,-90.0,56.99,,
9168,17935,294510.09,5331234.54,313.16,182.31,-83.0,39.01,,
9169,17936,294508.89,5331205.58,313.06,182.31,-79.0,50.99,,
9170,17937,294727.07,5331202.99,316.12,2.31,-45.0,75.01,,
9171,17938,294727.17,5331169.91,316.19,2.31,-47.0,75.01,,
9172,17939,294706.05,5331372.3,308.9,2.31,-45.0,90.0,,
9174,17940,294777.53,5331169.74,315.88,2.31,-47.0,75.01,,
9175,17941,294788.05,5331208.39,314.79,2.31,-45.0,75.01,,
9176,17942,294704.77,5331325.59,310.58,2.31,-45.0,90.0,,
9177,17943,294832.55,5331185.47,316.16,2.31,-47.0,75.01,,
9178,17944,294831.56,5331139.01,316.34,2.31,-48.0,71.99,,
9179,17945,294816.21,5331352.57,309.97,2.31,-47.0,90.0,,
9180,17946,294884.49,5331175.08,316.92,2.31,-45.0,75.01,,
9181,17947,294886.34,5331130.54,316.86,2.31,-47.0,75.01,,
9182,17948,294696.4,5331211.46,316.76,2.31,-50.0,42.0,,
9183,17949,294695.99,5331193.4,317.08,2.31,-52.0,35.99,,
9185,17950,294702.66,5331277.65,314.72,2.31,-45.0,90.0,,
9186,17951,294482.8,5331239.3,312.74,182.31,-72.0,54.01,,
9187,17952,294592.22,5331227.31,311.29,182.31,-88.0,35.99,,
9188,17953,294668.5,5331194.26,315.51,2.31,-47.0,74.67,,
9189,17954,294670.5,5331164.05,314.95,2.31,-47.0,81.07,,
9190,17955,294592.45,5331233.1,311.29,182.31,-84.0,50.99,,
9191,17956,294591.2,5331202.03,311.6,182.31,-84.0,48.0,,
9192,17957,294548.13,5331173.58,312.88,2.31,-40.0,83.51,,
9193,17958,294620.05,5331205.3,311.88,5.31,-46.0,78.02,,
