,BHID,AT,AZ,DIP
4,10,0.0,173.31,43.0
5,10,30.48,173.31,47.0
231,10165,0.0,182.31,90.0
232,10165,60.96,182.31,88.0
233,10165,121.92,182.31,87.0
234,10165,182.88,182.31,82.5
235,10165,243.84,182.31,82.5
236,10165,304.8,182.31,76.0
237,10165,365.76,182.31,76.0
238,10166,0.0,2.31,90.0
239,10166,60.96,2.31,89.5
240,10166,106.68,2.31,90.0
815,10398,0.0,2.31,90.0
816,10398,58.52,2.31,77.0
817,10399,0.0,2.31,80.0
825,10400,0.0,182.31,90.0
826,10400,60.96,175.24,87.25
827,10400,121.92,168.17,88.0
828,10400,182.88,161.09,86.5
829,10400,249.93,153.31,85.0
830,10400,304.8,153.31,82.75
831,10401,0.0,2.31,90.0
832,10401,60.96,2.31,87.25
833,10401,121.92,2.31,83.5
834,10401,182.88,2.31,81.5
835,10401,243.84,2.31,77.75
836,10402,0.0,2.31,88.0
837,10402,60.96,2.31,84.0
838,10402,128.01,2.31,81.0
874,10416,0.0,182.31,90.0
875,10416,60.96,176.65,84.0
876,10416,121.92,170.98,80.0
877,10416,182.88,165.31,77.5
878,10416,221.89,165.31,76.0
888,10421,0.0,2.31,80.0
889,10421,121.92,2.31,79.0
890,10422,0.0,2.31,90.0
891,10422,60.96,2.31,86.0
892,10422,121.92,2.31,86.0
893,10422,182.88,2.31,87.0
894,10422,243.84,2.31,83.5
895,10422,304.8,2.31,82.0
896,10422,364.23,2.31,82.0
897,10422,365.76,2.31,82.0
898,10422,426.72,2.31,74.0
1982,11,0.0,353.31,34.0
1983,11,30.48,353.31,34.0
1984,11,60.96,353.31,30.0
2503,11241,0.0,2.31,90.0
2504,11242,0.0,2.31,90.0
2540,11263,0.0,2.31,90.0
2541,11264,0.0,2.31,90.0
2542,11265,0.0,2.31,90.0
2685,1135,0.0,2.31,90.0
2703,1136,0.0,2.31,90.0
3204,11575,0.0,180.31,80.0
3205,11575,60.96,180.31,73.0
3206,11575,121.92,180.31,71.0
3207,11575,182.88,180.31,68.0
3208,11575,228.6,182.31,64.0
3209,11575,243.84,182.31,62.5
3210,11576,0.0,182.31,90.0
3211,11576,53.34,174.96,87.5
3212,11576,76.2,171.81,87.0
3213,11576,77.72,171.81,90.0
3214,11577,0.0,182.31,74.0
3215,11577,30.48,182.31,68.5
3216,11577,60.96,182.31,66.5
3217,11578,0.0,208.88,88.0
3218,11578,60.96,205.35,84.5
3219,11578,118.26,202.03,81.5
3220,11578,173.12,198.85,80.5
3221,11578,218.23,196.23,78.0
3222,11578,234.08,195.31,75.0
3223,11579,0.0,182.31,85.0
3224,11579,60.96,186.07,81.0
3225,11579,113.69,189.31,77.0
3229,11580,0.0,168.31,86.0
3230,11580,60.96,168.31,84.0
3231,11580,121.92,168.31,76.0
3232,11580,177.39,174.31,74.0
3233,11580,218.84,174.31,77.5
3306,11621,0.0,182.31,76.27
3307,11621,45.72,185.81,75.0
3308,11621,91.44,189.31,73.0
3309,11622,0.0,172.84,76.0
3310,11622,45.72,181.08,75.0
3311,11622,91.44,189.31,67.0
3382,11658,0.0,181.39,74.45
3383,11658,45.72,183.27,72.5
3384,11658,91.44,185.16,68.5
3385,11658,170.07,188.4,61.5
3386,11658,228.6,190.81,57.0
3387,11658,265.17,192.31,57.0
4131,12,0.0,353.31,59.0
4132,12,30.48,353.31,61.0
4133,12,54.86,353.31,59.0
4134,12,67.05,353.31,59.0
4135,12,91.44,353.31,57.0
4136,12,121.92,353.31,54.0
4137,12,152.4,353.31,52.0
6254,13,0.0,353.31,40.0
6255,13,30.48,353.31,37.0
6256,13,60.96,353.31,30.0
6257,13,91.44,353.31,24.0
6258,13,121.92,353.31,20.0
7673,13614,0.0,182.31,39.0
7674,13614,9.14,182.31,38.0
7675,13614,16.15,182.31,37.0
8416,14,0.0,191.31,45.0
8417,14,30.48,191.31,45.0
8418,14,60.96,191.31,43.0
9116,14341,0.0,358.31,50.0
9117,14341,12.19,358.31,50.0
9118,14341,28.95,358.31,49.0
9119,14341,41.14,358.31,48.0
9120,14341,82.9,357.31,47.0
9121,14341,96.01,357.31,43.0
9122,14341,117.34,357.31,40.0
9123,14341,141.73,357.31,36.0
9124,14341,153.92,357.31,36.0
9125,14341,166.11,357.31,33.0
9126,14341,174.34,357.31,33.0
9127,14341,190.5,357.31,34.0
9128,14341,202.69,357.31,32.0
9129,14341,220.98,357.31,31.0
9130,14341,233.17,357.31,30.0
9131,14341,235.3,358.31,29.0
9132,14342,0.0,2.31,70.0
9133,14342,20.11,2.69,72.0
9134,14342,44.5,3.14,71.0
9135,14342,56.69,3.37,72.0
9136,14342,74.98,3.72,72.0
9137,14342,93.26,4.06,72.0
9138,14342,105.46,4.29,73.0
9139,14342,129.84,4.74,71.0
9140,14342,148.13,5.08,70.0
9141,14342,172.51,5.54,70.0
9142,14342,190.8,5.88,70.0
9143,14342,209.09,6.23,70.0
9144,14342,213.66,6.31,71.0
9145,14342,233.47,6.69,70.0
9146,14342,251.76,7.05,70.0
9147,14342,282.24,7.64,70.0
9148,14342,300.53,7.99,70.0
9149,14342,324.91,8.46,70.0
9150,14342,343.2,8.81,71.0
9151,14342,361.49,9.16,70.0
9152,14342,369.11,9.31,70.0
9153,14342,391.97,9.31,70.0
9154,14342,410.26,9.31,73.0
9155,14343,0.0,2.31,50.0
9156,14343,15.24,9.31,49.0
9157,14343,60.96,13.31,40.0
9158,14343,121.92,17.31,31.0
9159,14343,207.26,18.31,26.0
9160,14343,240.79,17.31,23.0
9161,14344,0.0,2.31,65.0
9162,14344,13.71,8.31,63.0
9163,14344,49.07,7.31,63.0
9164,14344,152.7,9.31,63.0
9165,14344,248.71,15.31,63.0
9166,14344,347.77,17.31,62.0
9167,14345,0.0,2.31,50.0
9168,14345,12.49,358.31,49.0
9169,14345,137.46,11.31,49.0
9170,14345,244.14,15.31,46.0
9292,14400,0.0,2.31,75.0
9293,14400,18.59,358.31,73.0
9294,14400,97.84,8.31,73.0
9295,14400,216.71,10.31,73.0
9296,14400,311.2,16.31,74.0
9297,14400,384.35,15.31,75.0
9298,14400,417.88,16.31,74.0
10399,14972,0.0,2.31,76.0
10400,14972,93.87,2.31,76.0
10401,14972,106.07,2.31,75.0
10402,14972,112.16,2.31,76.0
10403,14972,118.26,361.31,77.0
10404,14972,124.35,361.31,76.0
10405,14972,130.45,361.31,77.0
10406,14972,136.55,361.31,77.0
10407,14972,244.75,8.81,77.0
10408,14972,246.27,8.81,77.0
10409,14972,252.37,8.81,78.0
10410,14972,258.47,8.81,78.5
10411,14972,270.66,8.81,78.5
10412,14972,282.85,8.81,78.0
10413,14972,394.1,7.31,78.5
10414,14972,395.63,7.31,77.5
10415,14973,0.0,2.31,74.0
10416,14973,43.58,11.31,73.0
10417,14973,75.59,11.47,74.0
10418,14973,99.97,11.59,73.5
10419,14973,118.26,11.68,72.5
10420,14973,130.45,11.74,72.0
10421,14973,144.17,11.81,72.5
10422,14973,179.22,12.27,72.0
10423,14973,197.51,12.5,72.5
10424,14973,209.7,12.66,72.5
10425,14973,221.89,12.82,72.0
10426,14973,240.18,13.06,72.5
10427,14973,259.99,13.31,72.0
10428,14973,319.43,14.64,72.5
10429,14973,356.0,15.46,73.0
10430,14973,392.58,16.28,72.0
10431,14973,394.1,16.31,72.0
10432,14973,410.87,16.31,73.0
10433,14974,0.0,2.31,66.0
10434,14974,69.49,3.93,66.0
10435,14974,107.59,4.81,65.0
10436,14974,118.26,4.55,65.0
