,IJK,IX,IY,IZ,XC,YC,ZC,AIR
6,6,6,0,0,294320.0,5330820.0,200.0,1
7,7,7,0,0,294400.0,5330820.0,200.0,1
8,8,8,0,0,294480.0,5330820.0,200.0,1
9,9,9,0,0,294560.0,5330820.0,200.0,1
10,10,10,0,0,294640.0,5330820.0,200.0,1
11,11,11,0,0,294720.0,5330820.0,200.0,1
12,12,12,0,0,294800.0,5330820.0,200.0,1
13,13,13,0,0,294880.0,5330820.0,200.0,1
14,14,14,0,0,294960.0,5330820.0,200.0,1
15,15,15,0,0,295040.0,5330820.0,200.0,1
16,16,16,0,0,295120.0,5330820.0,200.0,1
23,23,5,1,0,294240.0,5330860.0,200.0,1
24,24,6,1,0,294320.0,5330860.0,200.0,1
25,25,7,1,0,294400.0,5330860.0,200.0,1
26,26,8,1,0,294480.0,5330860.0,200.0,1
27,27,9,1,0,294560.0,5330860.0,200.0,1
28,28,10,1,0,294640.0,5330860.0,200.0,1
29,29,11,1,0,294720.0,5330860.0,200.0,1
30,30,12,1,0,294800.0,5330860.0,200.0,1
31,31,13,1,0,294880.0,5330860.0,200.0,1
32,32,14,1,0,294960.0,5330860.0,200.0,1
33,33,15,1,0,295040.0,5330860.0,200.0,1
34,34,16,1,0,295120.0,5330860.0,200.0,1
35,35,17,1,0,295200.0,5330860.0,200.0,1
39,39,3,2,0,294080.0,5330900.0,200.0,1
40,40,4,2,0,294160.0,5330900.0,200.0,1
41,41,5,2,0,294240.0,5330900.0,200.0,1
42,42,6,2,0,294320.0,5330900.0,200.0,1
43,43,7,2,0,294400.0,5330900.0,200.0,1
44,44,8,2,0,294480.0,5330900.0,200.0,1
45,45,9,2,0,294560.0,5330900.0,200.0,1
46,46,10,2,0,294640.0,5330900.0,200.0,1
47,47,11,2,0,294720.0,5330900.0,200.0,1
48,48,12,2,0,294800.0,5330900.0,200.0,1
49,49,13,2,0,294880.0,5330900.0,200.0,1
50,50,14,2,0,294960.0,5330900.0,200.0,1
51,51,15,2,0,295040.0,5330900.0,200.0,1
52,52,16,2,0,295120.0,5330900.0,200.0,1
53,53,17,2,0,295200.0,5330900.0,200.0,1
56,56,2,3,0,294000.0,5330940.0,200.0,1
57,57,3,3,0,294080.0,5330940.0,200.0,1
58,58,4,3,0,294160.0,5330940.0,200.0,1
59,59,5,3,0,294240.0,5330940.0,200.0,1
60,60,6,3,0,294320.0,5330940.0,200.0,1
61,61,7,3,0,294400.0,5330940.0,200.0,1
62,62,8,3,0,294480.0,5330940.0,200.0,1
63,63,9,3,0,294560.0,5330940.0,200.0,1
64,64,10,3,0,294640.0,5330940.0,200.0,1
65,65,11,3,0,294720.0,5330940.0,200.0,1
66,66,12,3,0,294800.0,5330940.0,200.0,1
