BHID,XCOLLAR,YCOLLAR,ZCOLLAR,AZ_UTM,DIP,LENGTH
10,294740.31,5331086.7,316.44,173.31,-43,39.92
10165,294394.4,5330868.32,321.16,2.31,-90,487.68
10166,294620.21,5330946.49,318.87,2.31,-90,106.68
10398,293904.49,5331161.53,317.21,2.31,-90,58.52
10399,293930.68,5331151.06,318.36,2.31,-80,56.08
10400,294809.99,5330977.94,317.43,182.31,-90,304.8
10401,294625.29,5330986.78,316.88,2.31,-90,298.7
10402,294459.93,5330999.38,315.36,2.31,-88,140.51
10416,294374.37,5330999.18,315.74,182.31,-90,229.51
10421,294313.99,5331026.85,317.7,2.31,-80,152.7
10422,294237.97,5331016.06,320.17,2.31,-90,488.59
11,294741.91,5331088.71,317.05,353.31,-34,78.33
11241,294081.88,5331174.75,309.53,2.31,-90,49.98
11242,294123.66,5331181.9,309.22,2.31,-90,42.97
11263,294352.69,5331225.72,308.85,2.31,-90,18.33
11264,294226.12,5331113.09,315.53,2.31,-90,27.27
11265,294580.83,5331023.39,316.08,2.31,-90,15.59
1135,294646.32,5331074.13,315.94,2.31,-90,67.05
1136,294651.21,5331059.97,315.1,2.31,-90,61.56
11575,294888.87,5331067.2,317.94,180.88,-80,255.42
11576,294874.85,5331098.41,316.79,182.31,-90,77.72
11577,294877.31,5331158.89,316.86,182.31,-74,103.02
11578,294812.75,5331137.41,316.61,208.88,-88,237.13
11579,294820.26,5331087.08,316.95,182.31,-85,115.21
11580,294813.05,5331028.31,316.85,169.23,-86,218.84
11621,294849.84,5331166.87,316.79,182.31,-76.27,91.44
11622,294850.75,5331218.93,316.47,172.84,-76,99.97
11658,294877.86,5331168.54,316.87,181.39,-74.45,274.32
12,294686.86,5330952.54,318.46,353.31,-59,197.81
13,294448.54,5330937.02,319.79,353.31,-40,193.85
13614,294679.9,5331132.56,311.29,182.31,-39,38.4
14,294767.94,5331100.2,316.87,191.31,-45,73.3
14341,295101.89,5331044.71,317.39,358.31,-50,239.26
14342,295101.89,5331044.71,317.39,2.31,-70,416.35
14343,295143.61,5331057.97,315.87,2.31,-50,245.36
14344,295143.61,5331057.97,315.87,2.31,-65,355.54
14345,295194.81,5331079.39,314.65,2.31,-50,248.71
14400,295194.81,5331079.39,314.65,2.31,-75,419.4
14972,294592.29,5330889.77,324.71,2.31,-76,395.63
14973,294487.84,5330858.01,324.33,2.31,-74,413.91
14974,294407,5330833.45,321.74,2.31,-66,429.15
14975,294316.76,5330806.08,324.16,2.31,-60,429.15
14976,294219.54,5330863.68,323.12,2.31,-70,397.76
14977,294131.26,5330919.92,321.63,2.31,-75,395.93
14978,294053.15,5331134.76,312.78,182.31,-65,368.19
15,294768.93,5331089.24,316.99,353.31,-36,95.85
15025,294550.68,5330992.61,318.81,182.31,-49,185.31
15026,294459.57,5331002.46,314.67,182.31,-50,264.56
15273,295199.87,5331195.38,323.6,361.96,-60,397.91
15274,295109.28,5331221.63,324.64,361.61,-44,277.58
15275,293803.75,5331419.39,309.89,182.53,-65,502.92
15276,293800.67,5331351.39,310.27,182.28,-59,426.01
15277,293881.85,5331425.48,308.11,183.34,-59,426.72
16,294797.74,5331103.84,317.02,173.31,-45,89.61
16037,294838.85,5331253.7,316.51,360.94,-67,493.77
16038,294881.61,5331248.89,319.04,361.43,-67.25,472.44
16039,294783.52,5331257.55,312.76,4.04,-67.78,489.72
16230,294308.54,5331118.67,314.89,2.31,-68,56.69
16231,294311.29,5331186.03,308.98,2.31,-90,81.07
16232,294312.45,5331202.17,308.76,2.31,-63,26.21
16233,294312.65,5331214.99,308.81,2.31,-53,47
16234,294311.48,5331236.71,308.62,2.31,-64,108.5
16235,294283.31,5331184.4,308.53,182.31,-88,46.69
16236,294283.33,5331185.21,308.55,2.31,-53,76.2
16237,294283.09,5331229.07,308.37,182.31,-84,64.92
16238,294251.69,5331172.15,309.62,182.31,-85,61.14
16239,294251.78,5331172.15,309.59,2.31,-45,85.7
16240,294257.55,5331220.6,308.14,182.31,-86,55.99
16241,294229.46,5331220.17,308.8,2.31,-66,111
16242,294229.04,5331156.84,309.64,2.31,-90,106.98
16243,294229.51,5331187.95,309.41,2.31,-43,47.94
16244,294229.47,5331220.63,308.79,182.31,-82,32.91
16246,294201.92,5331196.49,309.4,2.31,-45,74.98
16247,294202.07,5331197.34,309.31,182.31,-62,76.71
16295,294202.07,5331197.34,309.31,2.31,-60,50.04
16353,294202.44,5331193.87,309.28,2.31,-72,31.69
16354,294201.98,5331193.59,309.28,182.31,-73,59.74
16355,294231.26,5331221.88,308.66,182.31,-80,34.13
16356,294229.89,5331185.18,309.3,182.31,-84,59.74
16357,294262.62,5331188.48,308.81,182.31,-45,53.64
16358,294262.76,5331189.61,308.72,2.31,-84,56.08
16359,294283.59,5331201.95,308.51,2.31,-56,46.63
16360,294284.79,5331227.87,308.57,182.31,-84,64.92
16361,294311.95,5331206.32,308.55,2.31,-74,38.1
16362,294619.71,5330994.36,318.91,2.31,-84.5,230.12
16382,294311.95,5331206.38,308.46,2.31,-56,33.52
16383,294284.75,5331227.85,308.55,182.31,-70,51.81
16704,294325.44,5331191.59,308.55,2.31,-70,32
16705,294326.08,5331207.27,308.55,2.31,-59,25.9
16706,294326.51,5331217.96,308.55,2.31,-64,36.57
16707,294326.92,5331228.13,308.55,2.31,-64,33.52
16708,294270.77,5331200.45,308.55,2.31,-54,45.72
16709,294271.22,5331211.59,308.55,2.31,-51,33.52
16710,294297.67,5331206.38,308.55,2.31,-61,38.1
16711,294298.01,5331214.66,308.55,2.31,-58,36.57
16712,294256.78,5331192.53,308.55,2.31,-50,45.72
16713,294257.28,5331204.81,308.55,2.31,-47.5,36.57
16714,294284.27,5331193.4,308.55,2.31,-54.5,44.19
16715,294285.08,5331213.38,308.55,2.31,-53,35.05
16716,294285.37,5331220.45,308.55,182.31,-79,35.35
16717,294312.45,5331211.33,308.55,2.31,-63,30.48
16718,294312.91,5331222.6,308.55,2.31,-54,30.48
16728,294339.72,5331214.34,308.55,2.31,-74,18.28
16729,294340.04,5331222.11,308.55,2.31,-74,16.76
16730,294340.41,5331231.25,308.55,2.31,-74,33.52
16731,294326.51,5331223.27,308.55,2.31,-64,24.38
16732,294299.86,5331235.63,308.55,182.31,-75,32
16733,294298.45,5331200.76,308.55,2.31,-60,36.57
16734,294272.29,5331228.97,308.55,182.31,-81,27.43
16735,294271.87,5331218.46,308.55,182.31,-83,30.48
16736,294271.01,5331197.3,308.55,2.31,-72,32
17,294799.86,5331085.39,317.08,353.31,-35,60.5
17563,294367.45,5331213.53,308.55,2.31,-65,22.25
17564,294367.7,5331219.62,308.55,2.31,-65,32.3
17565,294368.01,5331227.23,308.55,2.31,-65,31.08
17566,294368.44,5331237.89,308.55,2.31,-65,32.61
17567,294394.86,5331212.42,308.55,2.31,-65,46.93
17568,294395.35,5331224.6,308.55,2.31,-65,38.7
17569,294395.85,5331236.78,308.55,2.31,-65,31.08
17570,294422.52,5331217.4,308.55,2.31,-65,31.08
17571,294423.01,5331229.58,308.55,2.31,-65,44.8
17572,294450.05,5331219.34,308.55,2.31,-65,31.39
17573,294450.54,5331231.52,308.55,2.31,-65,41.45
17586,294339.73,5331207.02,308.55,2.31,-70,22.55
17587,294229.66,5331200.8,308.55,2.31,-45,40.53
17588,294202.01,5331195.82,308.55,2.31,-90,39.01
17589,294173.74,5331175.61,308.55,2.31,-45,52.12
17590,294174.35,5331190.83,308.55,2.31,-45,44.5
17591,294145.96,5331167.58,308.55,2.31,-40,62.48
17592,294146.57,5331182.81,308.55,2.31,-40,53.03
17593,294161.26,5331206.62,308.55,2.31,-90,39.01
17594,294147.43,5331204.13,308.55,182.31,-85,51.2
17600,294339.43,5331199.41,308.55,2.31,-75,32.91
17601,294367.2,5331207.44,308.55,2.31,-65,26.51
17602,294395.85,5331236.78,308.55,2.31,-90,42.06
17603,294394.37,5331200.24,308.55,2.31,-65,36.88
17604,294422.76,5331223.49,308.55,2.31,-65,32.61
17605,294423.26,5331235.67,308.55,2.31,-65,19.2
17606,294450.91,5331240.66,308.55,2.31,-65,42.06
17607,294463.75,5331218.78,308.55,2.31,-65,29.87
17608,294464.25,5331230.96,308.55,2.31,-65,39.01
17609,294213.49,5331140.44,308.55,2.31,-70,51.81
17610,294213.49,5331140.44,308.55,2.31,-50,35.96
17611,294213.49,5331140.44,308.55,182.31,-30,50.9
17612,294199.79,5331141,308.55,2.31,-75,45.11
17613,294199.79,5331141,308.55,2.31,-65,32.91
17614,294199.79,5331141,308.55,182.31,-35,52.73
17615,294185.72,5331132.42,308.55,2.31,-70,45.11
17616,294185.72,5331132.42,308.55,2.31,-50,29.87
17617,294185.72,5331132.42,308.55,182.31,-40,39.01
17638,294368.93,5331250.07,308.55,182.31,-70,35.96
17639,294423.38,5331238.72,308.55,182.31,-80,35.66
17640,294445.25,5331243.94,308.55,2.31,-90,35.96
17641,294465.05,5331250.76,308.55,182.31,-70,35.35
17642,294491.29,5331220.72,308.55,2.31,-65,39.01
17643,294496.35,5331232.72,308.55,2.31,-65,39.01
17644,294518.7,5331219.61,308.55,2.31,-65,39.01
17645,294519.19,5331231.79,308.55,2.31,-65,39.01
17670,294519.68,5331243.97,308.55,182.31,-63,36.57
17671,294549.15,5331218.38,308.55,2.31,-60,39.62
17672,294549.15,5331218.38,308.55,2.31,-45,39.01
17673,294573.64,5331220.44,308.55,2.31,-65,36.88
17674,294573.95,5331228.05,308.55,2.31,-65,39.01
17837,294419.05,5331147.93,316.17,182.31,-85,92.99
17838,294419.05,5331147.93,316.17,182.31,-45,106.98
17839,294416.63,5331081.13,315.01,182.31,-45,44.8
17840,294511.7,5331267.8,310.43,182.31,-45,91.98
17841,294507.54,5331159.67,315.62,182.31,-45,91.65
17842,294507.54,5331159.67,315.62,2.31,-45,76.96
17843,294504.05,5331082.89,314.65,182.31,-60,77.41
17844,294611.79,5331258.55,311.6,182.31,-45,91.98
17845,294607.85,5331157.99,316.51,182.31,-45,76.99
17846,294607.53,5331158.7,316.62,2.31,-45,76.99
17847,294604.33,5331077.24,315.35,182.31,-60,91.74
17856,294416.66,5331081.74,315.01,182.31,-60,77.99
17881,294481.33,5331171.23,314.3,2.31,-55,80.01
17882,294481.33,5331171.23,314.3,2.31,-40,98.99
17883,294483.31,5331213.68,308.97,2.31,-45,62.11
17884,294535.59,5331183.17,316.58,2.31,-45,107.99
17885,294535.62,5331184.08,316.58,2.31,-60,79.55
17886,294537.68,5331221.94,312.35,2.31,-45,61.99
17890,294562.29,5331175.6,313.44,2.31,-60,60.96
17891,294562.34,5331176.9,313.44,2.31,-40,105
17892,294563.85,5331209.04,312.58,2.31,-45,63.09
17893,294589.76,5331162.67,316.23,2.31,-55,61.99
17894,294589.78,5331163.78,316.24,2.31,-40,89.61
17895,294589.17,5331210.35,311.84,2.31,-45,76.5
17896,294593.49,5331250.58,311.05,2.31,-43,77.41
17897,294596.25,5331309.53,309.99,2.31,-45,61.99
17898,294452.59,5331158.62,312.92,2.31,-60,84
17899,294452.59,5331158.62,312.92,2.31,-40,65.01
17900,294422.3,5331166.68,312.16,182.31,-60,61.99
17901,294422.38,5331161.68,312.34,2.31,-60,77.99
17902,294422.38,5331160.19,312.64,2.31,-40,60.99
17920,294367.06,5331162.6,315.44,2.31,-45,50.74
17921,294367.23,5331160.74,315.65,2.31,-65,52.48
17922,294314.81,5331155.08,313.72,2.31,-40,50.29
17923,294314.81,5331153.87,313.88,2.31,-60,55.99
17924,294641.77,5331172.41,313.54,2.31,-60,77.51
17925,294641.77,5331172.41,313.54,2.31,-40,82.6
17926,294643.77,5331205.4,311.7,2.31,-45,61.99
17927,294508.01,5331178.39,315.17,2.31,-45,48
17928,294508.55,5331198.59,314.78,2.31,-45,47
17929,294641.77,5331173.33,313.54,182.31,-55,65.98
17930,294482.34,5331204.76,310.53,182.31,-75,54.01
17931,294537.19,5331234.21,313.51,182.31,-83,49.07
17932,294536.09,5331200.97,313.38,182.31,-75,49.49
17933,294564.75,5331228.39,313.48,182.31,-86,54.01
17934,294563.97,5331204.75,314.26,2.31,-90,56.99
17935,294510.09,5331234.54,313.16,182.31,-83,39.01
17936,294508.89,5331205.58,313.06,182.31,-79,50.99
17937,294727.07,5331202.99,316.12,2.31,-45,75.01
17938,294727.17,5331169.91,316.19,2.31,-47,75.01
17939,294706.05,5331372.3,308.9,2.31,-45,90
17940,294777.53,5331169.74,315.88,2.31,-47,75.01
17941,294788.05,5331208.39,314.79,2.31,-45,75.01
17942,294704.77,5331325.59,310.58,2.31,-45,90
17943,294832.55,5331185.47,316.16,2.31,-47,75.01
17944,294831.56,5331139.01,316.34,2.31,-48,71.99
17945,294816.21,5331352.57,309.97,2.31,-47,90
17946,294884.49,5331175.08,316.92,2.31,-45,75.01
17947,294886.34,5331130.54,316.86,2.31,-47,75.01
17948,294696.4,5331211.46,316.76,2.31,-50,42
17949,294695.99,5331193.4,317.08,2.31,-52,35.99
17950,294702.66,5331277.65,314.72,2.31,-45,90
17951,294482.8,5331239.3,312.74,182.31,-72,54.01
17952,294592.22,5331227.31,311.29,182.31,-88,35.99
17953,294668.5,5331194.26,315.51,2.31,-47,74.67
17954,294670.5,5331164.05,314.95,2.31,-47,81.07
17955,294592.45,5331233.1,311.29,182.31,-84,50.99
17956,294591.2,5331202.03,311.6,182.31,-84,48
17957,294548.13,5331173.58,312.88,2.31,-40,83.51
17958,294620.05,5331205.3,311.88,5.31,-46,78.02
17959,294617.19,5331165.05,313.87,2.31,-45,71.99
17964,294643.25,5331218.9,310.73,182.31,-85,50.99
17965,294650.42,5331195.67,313.43,182.31,-84,50.5
17974,294475.01,5331047.42,315.26,2.31,-90,54.01
17975,294477.84,5331114.5,314.65,2.31,-90,60.04
17976,294480.18,5331172.36,314.34,2.31,-90,54.01
17977,294419.29,5331028.25,313.38,2.31,-90,60.04
17978,294489.48,5331067.9,314.59,2.31,-90,60.01
17979,294367.41,5331105.54,315.43,2.31,-90,60.01
17980,294365.72,5331060.92,315.2,2.31,-90,60.01
17981,294504.07,5331091.03,314.62,2.31,-90,42
17982,294507.1,5331159.07,315.56,2.31,-90,48
17983,294532.48,5331107.47,316.45,2.31,-90,48
17984,294533.37,5331133.65,314.94,2.31,-90,54.01
17985,294557.73,5331053.3,314.65,2.31,-90,60.01
17986,294558.77,5331079.19,314.65,2.31,-90,48
17987,294311.09,5331063.42,316.72,2.31,-90,60.01
17988,294312.16,5331093.8,315.49,2.31,-90,60.04
17989,294243.65,5331075.25,321.71,2.31,-90,60.01
17992,294733.45,5331215.82,317.11,182.31,-85,44.98
17993,294732.35,5331184.01,317.75,182.31,-85,48
17994,294696.16,5331195.2,317.08,182.31,-56,27.49
17995,294815.63,5331321.66,309.93,2.31,-45,75.01
17996,294821.64,5331282.11,312.83,2.31,-45,74.49
17997,294810.95,5331244.94,313.87,2.31,-45,71.96
18,294840.2,5331013.4,317.63,353.31,-35,151.02
18007,294700.45,5331230.94,315.49,2.31,-45,90
18008,294482.23,5331246.72,311.73,2.31,-45,96.01
18009,294483.34,5331288.15,310.38,2.31,-45,88.39
18010,294485.25,5331335.36,309.77,2.31,-45,90
18011,294486.57,5331379.93,308.6,2.31,-45,90
18012,294262.4,5331255.91,309.46,2.31,-45,89.91
18013,294264.82,5331307,309.8,2.31,-45,90
18014,294267.2,5331350.59,308.32,2.31,-45,92.65
18018,294817.55,5331405.8,308.85,2.31,-45,90
18019,294696.72,5331212.74,315.54,182.31,-85,47.7
18020,294695.85,5331187.43,317.08,182.31,-84,48
18024,294619.43,5331221.33,311.6,182.31,-82,50.29
18025,294618.78,5331205.19,311.6,182.31,-82,42.48
18026,294416.11,5331059.03,314.95,182.31,-45,90
