BHID,FROM,TO,LITHO_DESC,lithoID
10,0,5.48,Casing,1
10,5.48,25.9,Early Diorite,2
10,25.9,28.95,Felsic to Intermediate Dykes,3
10,28.95,39.92,Shear Zone,4
10165,0,3.65,Casing,1
10165,3.65,53.03,Intermediate to Ultramafic Volcanics,5
10165,53.03,56.38,Felsic to Intermediate Dykes,3
10165,56.38,59.58,Intermediate to Ultramafic Volcanics,5
10165,59.58,62.11,Felsic to Intermediate Dykes,3
10165,62.11,85.8,Intermediate to Ultramafic Volcanics,5
10165,85.8,86.1,Indifferenciated Tuffs,6
10165,86.1,123.29,Intermediate to Ultramafic Volcanics,5
10165,123.29,131.06,Indifferenciated Tuffs,6
10165,131.06,143.98,Early Diorite,2
10165,143.98,190.56,Intermediate to Ultramafic Volcanics,5
10165,190.56,193.85,Indifferenciated Tuffs,6
10165,193.85,218.6,Intermediate to Ultramafic Volcanics,5
10165,218.6,271.88,Indifferenciated Tuffs,6
10165,271.88,287.57,Intermediate to Ultramafic Volcanics,5
10165,287.57,307.39,Indifferenciated Tuffs,6
10165,307.39,321.25,Early Diorite,2
10165,321.25,365.76,Intermediate to Ultramafic Volcanics,5
10165,365.76,369.41,Indifferenciated Tuffs,6
10165,369.41,388.92,Intermediate to Ultramafic Volcanics,5
10165,388.92,394.71,Indifferenciated Tuffs,6
10165,394.71,487.68,No Litho,0
10166,0,3.65,Casing,1
10166,3.65,33.64,Intermediate to Ultramafic Volcanics,5
10166,33.64,52.88,Felsic to Intermediate Dykes,3
10166,52.88,80.46,Intermediate to Ultramafic Volcanics,5
10166,80.46,106.22,Early Diorite,2
10166,106.22,106.68,Felsic to Intermediate Dykes,3
10398,0,19.5,Casing,1
10398,19.5,58.52,Intermediate to Ultramafic Volcanics,5
10399,0,18.59,Casing,1
10399,18.59,23.01,Felsic to Intermediate Dykes,3
10399,23.01,28.95,Shear Zone,4
10399,28.95,34.44,Shear Zone,4
10399,34.44,37.18,Shear Zone,4
10399,37.18,49.83,Felsic to Intermediate Dykes,3
10399,49.83,54.86,Indifferenciated Tuffs,6
10399,54.86,55.77,Shear Zone,4
10399,55.77,56.08,Indifferenciated Tuffs,6
10400,0,3.96,Casing,1
