BHID,DIP,AT,AZ
10,43,0,173.31
10,47,30.48,173.31
10165,90,0,182.31
10165,88,60.96,182.31
10165,87,121.92,182.31
10165,82.5,182.88,182.31
10165,82.5,243.84,182.31
10165,76,304.8,182.31
10165,76,365.76,182.31
10166,90,0,2.31
10166,89.5,60.96,2.31
10166,90,106.68,2.31
10398,90,0,2.31
10398,77,58.52,2.31
10399,80,0,2.31
10400,90,0,182.31
10400,87.25,60.96,175.24
10400,88,121.92,168.17
10400,86.5,182.88,161.09
10400,85,249.93,153.31
10400,82.75,304.8,153.31
10401,90,0,2.31
10401,87.25,60.96,2.31
10401,83.5,121.92,2.31
10401,81.5,182.88,2.31
10401,77.75,243.84,2.31
10402,88,0,2.31
10402,84,60.96,2.31
10402,81,128.01,2.31
10416,90,0,182.31
10416,84,60.96,176.65
10416,80,121.92,170.98
10416,77.5,182.88,165.31
10416,76,221.89,165.31
10421,80,0,2.31
10421,79,121.92,2.31
10422,90,0,2.31
10422,86,60.96,2.31
10422,86,121.92,2.31
10422,87,182.88,2.31
10422,83.5,243.84,2.31
10422,82,304.8,2.31
10422,82,364.23,2.31
10422,82,365.76,2.31
10422,74,426.72,2.31
11,34,0,353.31
11,34,30.48,353.31
11,30,60.96,353.31
11241,90,0,2.31
11241,90,900,2.31
11242,90,0,2.31
11242,90,900,2.31
11263,90,0,2.31
11263,90,900,2.31
11264,90,0,2.31
11264,90,900,2.31
11265,90,0,2.31
11265,90,900,2.31
1135,90,0,2.31
1135,90,900,2.31
1136,90,0,2.31
1136,90,900,2.31
11575,80,0,180.31
11575,73,60.96,180.31
11575,71,121.92,180.31
11575,68,182.88,180.31
11575,64,228.6,182.31
11575,62.5,243.84,182.31
11576,90,0,182.31
11576,87.5,53.34,174.96
11576,87,76.2,171.81
11576,90,77.72,171.81
11577,74,0,182.31
11577,68.5,30.48,182.31
11577,66.5,60.96,182.31
11578,88,0,208.88
11578,84.5,60.96,205.35
11578,81.5,118.26,202.03
11578,80.5,173.12,198.85
11578,78,218.23,196.23
11578,75,234.08,195.31
11579,85,0,182.31
11579,81,60.96,186.07
11579,77,113.69,189.31
11580,86,0,168.31
11580,84,60.96,168.31
11580,76,121.92,168.31
11580,74,177.39,174.31
11580,77.5,218.84,174.31
11621,76.27,0,182.31
11621,75,45.72,185.81
11621,73,91.44,189.31
11622,76,0,172.84
11622,75,45.72,181.08
11622,67,91.44,189.31
11658,74.45,0,181.39
11658,72.5,45.72,183.27
11658,68.5,91.44,185.16
11658,61.5,170.07,188.4
11658,57,228.6,190.81
11658,57,265.17,192.31
12,59,0,353.31
12,61,30.48,353.31
12,59,54.86,353.31
12,59,67.05,353.31
12,57,91.44,353.31
12,54,121.92,353.31
12,52,152.4,353.31
13,40,0,353.31
13,37,30.48,353.31
13,30,60.96,353.31
13,24,91.44,353.31
13,20,121.92,353.31
13614,39,0,182.31
13614,38,9.14,182.31
13614,37,16.15,182.31
14,45,0,191.31
14,45,30.48,191.31
14,43,60.96,191.31
14341,50,0,358.31
14341,50,12.19,358.31
14341,49,28.95,358.31
14341,48,41.14,358.31
14341,47,82.9,357.31
14341,43,96.01,357.31
14341,40,117.34,357.31
14341,36,141.73,357.31
14341,36,153.92,357.31
14341,33,166.11,357.31
