All of the secondary data plus 29 primary data
4
Xlocation
Ylocation
Primary
Secondary
  .5   .5 -1.00  3.26
 1.5   .5 -1.00  2.64
 2.5   .5 -1.00  2.15
 3.5   .5 -1.00  1.69
 4.5   .5 -1.00   .51
 5.5   .5 -1.00   .27
 6.5   .5 -1.00   .16
 7.5   .5 -1.00   .31
 8.5   .5 -1.00   .39
 9.5   .5 -1.00   .40
10.5   .5 -1.00   .42
11.5   .5 -1.00   .42
12.5   .5 -1.00   .30
13.5   .5 -1.00   .25
14.5   .5 -1.00   .32
15.5   .5 -1.00   .57
16.5   .5 -1.00   .61
17.5   .5 -1.00   .64
18.5   .5 -1.00   .69
19.5   .5 -1.00   .65
20.5   .5 -1.00   .46
21.5   .5 -1.00   .42
22.5   .5 -1.00   .46
23.5   .5 -1.00   .49
24.5   .5 -1.00   .60
25.5   .5 -1.00   .66
26.5   .5 -1.00   .94
27.5   .5 -1.00  1.44
28.5   .5 -1.00  1.85
29.5   .5 -1.00  2.22
30.5   .5 -1.00  2.84
31.5   .5 -1.00  2.72
32.5   .5 -1.00  2.20
33.5   .5 -1.00  1.73
34.5   .5 -1.00  1.26
35.5   .5 -1.00   .65
36.5   .5 -1.00   .61
37.5   .5 -1.00   .69
38.5   .5 -1.00   .90
39.5   .5 -1.00   .94
40.5   .5 -1.00   .87
41.5   .5 -1.00   .77
42.5   .5 -1.00   .66
43.5   .5 -1.00   .47
44.5   .5 -1.00   .67
45.5   .5 -1.00  1.02
46.5   .5 -1.00  1.71
47.5   .5 -1.00  2.88
48.5   .5 -1.00  3.50
49.5   .5 -1.00  4.15
  .5  1.5 -1.00  2.84
 1.5  1.5 -1.00  2.32
 2.5  1.5 -1.00  1.89
 3.5  1.5 -1.00  1.51
 4.5  1.5 -1.00   .56
 5.5  1.5 -1.00   .27
 6.5  1.5 -1.00   .17
 7.5  1.5 -1.00   .30
 8.5  1.5 -1.00   .36
 9.5  1.5 -1.00   .37
10.5  1.5 -1.00   .38
11.5  1.5 -1.00   .37
12.5  1.5 -1.00   .27
13.5  1.5 -1.00   .23
14.5  1.5 -1.00   .27
15.5  1.5 -1.00   .47
16.5  1.5 -1.00   .50
17.5  1.5 -1.00   .52
18.5  1.5 -1.00   .55
19.5  1.5 -1.00   .52
20.5  1.5   .09   .39
21.5  1.5 -1.00   .36
22.5  1.5 -1.00   .42
23.5  1.5 -1.00   .48
24.5  1.5 -1.00   .61
25.5  1.5 -1.00   .77
26.5  1.5 -1.00  1.01
27.5  1.5 -1.00  1.43
28.5  1.5 -1.00  1.78
29.5  1.5 -1.00  2.08
30.5  1.5 -1.00  2.51
31.5  1.5 -1.00  2.46
32.5  1.5 -1.00  2.04
33.5  1.5 -1.00  1.65
34.5  1.5 -1.00  1.27
35.5  1.5 -1.00   .72
36.5  1.5 -1.00   .63
37.5  1.5 -1.00   .69
38.5  1.5 -1.00   .83
39.5  1.5 -1.00   .88
40.5  1.5 -1.00   .85
41.5  1.5 -1.00   .80
42.5  1.5 -1.00   .68
43.5  1.5 -1.00   .56
44.5  1.5 -1.00   .70
45.5  1.5 -1.00  1.15
46.5  1.5 -1.00  1.82
47.5  1.5 -1.00  3.41
48.5  1.5 -1.00  4.14
49.5  1.5 -1.00  5.03
  .5  2.5 -1.00  2.65
 1.5  2.5 -1.00  2.18
 2.5  2.5 -1.00  1.83
 3.5  2.5 -1.00  1.50
 4.5  2.5 -1.00   .66
 5.5  2.5 -1.00   .37
 6.5  2.5 -1.00   .29
 7.5  2.5 -1.00   .34
 8.5  2.5 -1.00   .36
 9.5  2.5 -1.00   .34
10.5  2.5 -1.00   .35
11.5  2.5 -1.00   .31
12.5  2.5 -1.00   .23
13.5  2.5 -1.00   .22
14.5  2.5 -1.00   .25
15.5  2.5 -1.00   .41
16.5  2.5 -1.00   .44
17.5  2.5 -1.00   .45
18.5  2.5 -1.00   .47
19.5  2.5 -1.00   .45
20.5  2.5 -1.00   .34
21.5  2.5 -1.00   .34
22.5  2.5 -1.00   .49
23.5  2.5 -1.00   .59
24.5  2.5 -1.00   .72
25.5  2.5 -1.00   .91
26.5  2.5 -1.00  1.12
27.5  2.5 -1.00  1.44
28.5  2.5 -1.00  1.70
29.5  2.5 -1.00  1.93
30.5  2.5 -1.00  2.27
31.5  2.5 -1.00  2.23
32.5  2.5 -1.00  1.85
33.5  2.5 -1.00  1.51
34.5  2.5 -1.00  1.21
35.5  2.5 -1.00   .71
36.5  2.5 -1.00   .62
37.5  2.5 -1.00   .66
38.5  2.5 -1.00   .80
39.5  2.5 -1.00   .87
40.5  2.5 -1.00   .90
41.5  2.5 -1.00   .88
42.5  2.5 -1.00   .78
43.5  2.5 -1.00   .65
44.5  2.5 -1.00   .73
45.5  2.5 -1.00  1.14
46.5  2.5 -1.00  1.70
47.5  2.5 -1.00  3.05
48.5  2.5 -1.00  3.69
49.5  2.5 -1.00  4.48
  .5  3.5 -1.00  3.07
 1.5  3.5 -1.00  2.61
 2.5  3.5 -1.00  2.27
 3.5  3.5 -1.00  1.96
 4.5  3.5 -1.00   .98
 5.5  3.5 -1.00   .69
 6.5  3.5 -1.00   .54
 7.5  3.5 -1.00   .44
 8.5  3.5 -1.00   .37
 9.5  3.5 -1.00   .33
10.5  3.5 -1.00   .31
11.5  3.5 -1.00   .24
12.5  3.5 -1.00   .19
13.5  3.5 -1.00   .18
14.5  3.5 -1.00   .17
15.5  3.5 -1.00   .21
16.5  3.5 -1.00   .22
17.5  3.5 -1.00   .21
18.5  3.5 -1.00   .21
19.5  3.5 -1.00   .22
20.5  3.5 -1.00   .26
21.5  3.5 -1.00   .30
22.5  3.5 -1.00   .55
23.5  3.5 -1.00   .72
24.5  3.5 -1.00   .84
25.5  3.5 -1.00  1.03
26.5  3.5 -1.00  1.15
27.5  3.5 -1.00  1.21
28.5  3.5 -1.00  1.40
29.5  3.5 -1.00  1.53
30.5  3.5 -1.00  1.66
31.5  3.5 -1.00  1.68
32.5  3.5 -1.00  1.48
33.5  3.5 -1.00  1.19
34.5  3.5 -1.00   .99
35.5  3.5 -1.00   .66
36.5  3.5 -1.00   .57
37.5  3.5 -1.00   .58
38.5  3.5 -1.00   .68
39.5  3.5 -1.00   .76
40.5  3.5 -1.00   .85
41.5  3.5 -1.00   .91
42.5  3.5 -1.00   .89
43.5  3.5 -1.00   .84
44.5  3.5 -1.00   .85
45.5  3.5 -1.00  1.15
46.5  3.5 -1.00  1.65
47.5  3.5 -1.00  2.83
48.5  3.5 -1.00  3.35
49.5  3.5 -1.00  4.13
  .5  4.5 -1.00  4.02
 1.5  4.5 -1.00  3.72
 2.5  4.5 -1.00  3.37
 3.5  4.5 -1.00  2.64
 4.5  4.5 -1.00  1.75
 5.5  4.5 -1.00  1.34
 6.5  4.5 -1.00   .92
 7.5  4.5 -1.00   .57
 8.5  4.5 -1.00   .45
 9.5  4.5 -1.00   .39
10.5  4.5 -1.00   .32
11.5  4.5 -1.00   .21
12.5  4.5 -1.00   .18
13.5  4.5 -1.00   .16
14.5  4.5 -1.00   .16
15.5  4.5 -1.00   .18
16.5  4.5 -1.00   .19
17.5  4.5 -1.00   .20
18.5  4.5 -1.00   .19
19.5  4.5 -1.00   .21
20.5  4.5 -1.00   .28
21.5  4.5 -1.00   .36
22.5  4.5 -1.00   .62
23.5  4.5 -1.00   .87
24.5  4.5 -1.00  1.12
25.5  4.5  1.81  1.37
26.5  4.5 -1.00  1.63
27.5  4.5 -1.00  1.81
28.5  4.5 -1.00  2.13
29.5  4.5 -1.00  2.22
30.5  4.5 -1.00  2.22
31.5  4.5 -1.00  2.03
32.5  4.5 -1.00  1.69
33.5  4.5 -1.00  1.19
34.5  4.5 -1.00   .89
35.5  4.5 -1.00   .60
36.5  4.5 -1.00   .49
37.5  4.5 -1.00   .49
38.5  4.5 -1.00   .56
39.5  4.5 -1.00   .66
40.5  4.5 -1.00   .83
41.5  4.5 -1.00  1.04
42.5  4.5 -1.00  1.14
43.5  4.5 -1.00  1.14
44.5  4.5 -1.00  1.13
45.5  4.5 -1.00  1.38
46.5  4.5 -1.00  1.69
47.5  4.5 -1.00  2.71
48.5  4.5 -1.00  3.17
49.5  4.5 -1.00  3.91
  .5  5.5 -1.00  6.32
 1.5  5.5 -1.00  6.72
 2.5  5.5 -1.00  5.93
 3.5  5.5 -1.00  4.53
 4.5  5.5 -1.00  3.53
 5.5  5.5 -1.00  2.82
 6.5  5.5 -1.00  1.38
 7.5  5.5 -1.00   .87
 8.5  5.5 -1.00   .64
 9.5  5.5 -1.00   .46
10.5  5.5 -1.00   .35
11.5  5.5 -1.00   .24
12.5  5.5 -1.00   .23
13.5  5.5 -1.00   .21
14.5  5.5 -1.00   .19
15.5  5.5 -1.00   .19
16.5  5.5 -1.00   .19
17.5  5.5 -1.00   .19
18.5  5.5 -1.00   .18
19.5  5.5 -1.00   .21
