Semivariogram           tail:v1           head:v1            direction  1 
   1        1.000       .49119     2450        2.53364        2.53909
   2        2.000       .62754     2400        2.49753        2.52300
   3        3.000       .75987     2350        2.46945        2.50771
   4        4.000       .81914     2300        2.45293        2.49312
   5        5.000       .83200     2250        2.46641        2.49146
   6        6.000       .88963     2200        2.48491        2.50075
   7        7.000       .93963     2150        2.50757        2.52079
   8        8.000       .96571     2100        2.53510        2.53821
   9        9.000      1.00641     2050        2.55013        2.56459
  10       10.000       .99615     2000        2.57868        2.55968
Semivariogram           tail:v1           head:v1            direction  2 
   1        1.000       .49560     2450        2.61572        2.51775
   2        2.000       .63327     2400        2.64921        2.45918
   3        3.000       .67552     2350        2.68369        2.37889
   4        4.000       .72309     2300        2.72356        2.34000
   5        5.000       .75444     2250        2.75722        2.31314
   6        6.000       .83449     2200        2.79176        2.30304
   7        7.000       .85967     2150        2.78771        2.27861
   8        8.000       .89283     2100        2.78614        2.25039
   9        9.000       .87210     2050        2.79200        2.17433
  10       10.000       .89131     2000        2.81165        2.15231
Covariance              tail:v1           head:v1            direction  1 
   1        1.000     12.69870     2450        2.53364        2.53909
   2        2.000      9.05096     2400        2.49753        2.52300
   3        3.000      5.38966     2350        2.46945        2.50771
   4        4.000      3.70148     2300        2.45293        2.49312
   5        5.000      3.67338     2250        2.46641        2.49146
   6        6.000      2.57340     2200        2.48491        2.50075
   7        7.000      1.70601     2150        2.50757        2.52079
   8        8.000      1.53731     2100        2.53510        2.53821
   9        9.000       .82612     2050        2.55013        2.56459
  10       10.000      1.24504     2000        2.57868        2.55968
Covariance              tail:v1           head:v1            direction  2 
   1        1.000     13.02354     2450        2.61572        2.51775
   2        2.000      9.25504     2400        2.64921        2.45918
   3        3.000      6.19592     2350        2.68369        2.37889
   4        4.000      5.13209     2300        2.72356        2.34000
   5        5.000      4.56865     2250        2.75722        2.31314
   6        6.000      2.81984     2200        2.79176        2.30304
   7        7.000      1.58865     2150        2.78771        2.27861
   8        8.000       .71644     2100        2.78614        2.25039
   9        9.000       .18400     2050        2.79200        2.17433
  10       10.000      -.36678     2000        2.81165        2.15231
Semivariogram           tail:v2           head:v2            direction  1 
   1        1.000       .04458     2450        2.27962        2.29790
   2        2.000       .15073     2400        2.24517        2.27434
   3        3.000       .30106     2350        2.21705        2.25246
   4        4.000       .46603     2300        2.20160        2.23949
   5        5.000       .61269     2250        2.20315        2.23192
   6        6.000       .72516     2200        2.21249        2.23038
   7        7.000       .79993     2150        2.22888        2.23647
   8        8.000       .84182     2100        2.24862        2.24998
   9        9.000       .85653     2050        2.27125        2.26228
  10       10.000       .85512     2000        2.29383        2.27168
Semivariogram           tail:v2           head:v2            direction  2 
   1        1.000       .04345     2450        2.34399        2.25918
   2        2.000       .13868     2400        2.36914        2.20534
   3        3.000       .27425     2350        2.39641        2.16029
   4        4.000       .43381     2300        2.42585        2.13018
   5        5.000       .59807     2250        2.45196        2.11109
   6        6.000       .73341     2200        2.47143        2.10190
   7        7.000       .84450     2150        2.48291        2.09609
   8        8.000       .92881     2100        2.48809        2.09287
   9        9.000       .98364     2050        2.48430        2.09213
  10       10.000       .99453     2000        2.46351        2.09358
Covariance              tail:v2           head:v2            direction  1 
   1        1.000      6.71178     2450        2.27962        2.29790
   2        2.000      5.72431     2400        2.24517        2.27434
   3        3.000      4.47948     2350        2.21705        2.25246
   4        4.000      3.24783     2300        2.20160        2.23949
   5        5.000      2.23104     2250        2.20315        2.23192
   6        6.000      1.49222     2200        2.21249        2.23038
   7        7.000      1.04595     2150        2.22888        2.23647
   8        8.000       .85482     2100        2.24862        2.24998
   9        9.000       .84692     2050        2.27125        2.26228
  10       10.000       .94396     2000        2.29383        2.27168
Covariance              tail:v2           head:v2            direction  2 
   1        1.000      6.81336     2450        2.34399        2.25918
   2        2.000      5.98391     2400        2.36914        2.20534
   3        3.000      4.93632     2350        2.39641        2.16029
   4        4.000      3.78569     2300        2.42585        2.13018
   5        5.000      2.64749     2250        2.45196        2.11109
   6        6.000      1.73774     2200        2.47143        2.10190
   7        7.000       .95898     2150        2.48291        2.09609
   8        8.000       .33199     2100        2.48809        2.09287
   9        9.000      -.11095     2050        2.48430        2.09213
  10       10.000      -.39648     2000        2.46351        2.09358
Indicator 1/2 Variogram tail:Indicator  1 head:Indicator  1  direction  1 
   1        1.000       .07327     2450         .25714         .25102
   2        2.000       .10146     2400         .25458         .24500
   3        3.000       .11745     2350         .25106         .24085
   4        4.000       .13370     2300         .25043         .23870
   5        5.000       .14467     2250         .25156         .23867
   6        6.000       .15568     2200         .25364         .23864
   7        7.000       .16488     2150         .25628         .24000
   8        8.000       .16643     2100         .25857         .24000
   9        9.000       .16683     2050         .26098         .24244
  10       10.000       .16950     2000         .26350         .24150
Indicator 1/2 Variogram tail:Indicator  1 head:Indicator  1  direction  2 
   1        1.000       .08041     2450         .26041         .25388
   2        2.000       .10375     2400         .26333         .24917
   3        3.000       .12298     2350         .26638         .24426
   4        4.000       .14109     2300         .27043         .24043
   5        5.000       .15644     2250         .27244         .23689
   6        6.000       .16636     2200         .27500         .23409
   7        7.000       .17326     2150         .27535         .23209
   8        8.000       .17667     2100         .27619         .22667
   9        9.000       .18098     2050         .27561         .22390
  10       10.000       .18475     2000         .27800         .22250
