Dip dir,Dip,Head,Tail,Lag distance,X,Y,Z,Average distance,Spatial function value,Spatial function type,Mean head,Mean tail,Variance head,Variance tail,Number of pairs,Dir ID,Lag
-5.0,-85.0,Primary,Primary,0.0,-0.0,0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,0,0.0
-5.0,-85.0,Primary,Primary,2.0,-0.015192247264841268,0.17364818103305157,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,0,0.5
-5.0,-85.0,Primary,Primary,4.0,-0.030384494529682535,0.34729636206610315,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,0,1.0
-5.0,-85.0,Primary,Primary,8.0,-0.06076898905936507,0.6945927241322063,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,0,2.0
-5.0,-85.0,Primary,Primary,12.0,-0.09115348358904761,1.0418890861983094,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,0,3.0
-5.0,-85.0,Primary,Primary,16.0,-0.12153797811873014,1.3891854482644126,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,0,4.0
-5.0,-85.0,Primary,Primary,20.0,-0.1519224726484127,1.7364818103305157,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,0,5.0
-5.0,-85.0,Primary,Primary,24.0,-0.18230696717809522,2.083778172396619,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,0,6.0
-5.0,-85.0,Primary,Primary,28.0,-0.21269146170777775,2.431074534462722,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,0,7.0
-5.0,-85.0,Primary,Primary,32.0,-0.24307595623746028,2.778370896528825,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,0,8.0
-5.0,-85.0,Primary,Primary,36.0,-0.2734604507671428,3.1256672585949286,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,0,9.0
